Stimulus A,Stumulus B,Mean chemotaxis index (A relative to B),Standard deviation (measured/estimated),Standard error,Number of days repeated,All measured Chemotaxis indexes
'Py-3','TT-2',0.354310129,0.163561701,0.115655588,2,0.599689 0.108931 
'Py-3','TT-3',-0.109490713,0.208802368,0.14764557,2,-0.218981
'Py-3','TT-4',0.025435873,0.224335029,0.224335029,1,0.025436
'Py-3','TT-5',0.529733467,0.131144873,0.131144873,1,0.529733
'Py-4','Py-5',0.658229466,0.107399842,0.107399842,1,0.658229
'Py-4','TT-2',-0.276923077,0.177862208,0.177862208,1,-0.276923
'Py-4','TT-3',-0.586642202,0.120628595,0.120628595,1,-0.586642
'Py-4','TT-4',-0.318403812,0.170196901,0.170196901,1,-0.318404
'Py-4','TT-5',0.19668175,0.192690163,0.192690163,1,0.196682
'Py-5','TT-2',-0.631642512,0.112312899,0.112312899,1,-0.631643
'Py-5','TT-3',-0.810314685,0.079295712,0.079295712,1,-0.810315
'Py-5','TT-4',-0.648202494,0.109252746,0.109252746,1,-0.648202
'Py-5','TT-5',-0.195428132,0.192921821,0.136416328,2,-0.390856
'TT-2','TT-3',0.521790532,0.132612664,0.132612664,1,0.521791
'TT-2','TT-4',0.627219139,0.113130303,0.113130303,1,0.627219
'TT-2','TT-5',0.635628417,0.111576335,0.111576335,1,0.635628
'TT-3','TT-4',0.691552952,0.101241929,0.071588855,2,0.825556 0.557550 
'TT-3','TT-5',0.950599916,0.053372126,0.053372126,1,0.9506
'TT-4','TT-5',0.838746843,0.074041677,0.074041677,1,0.838747
'DA-2','DA-2',-0.112247398,0.208292954,0.120257993,3,-0.336742
'DA-3','DA-3',-0.01142075,0.226924911,0.131015158,3,-0.068231 0.080131 -0.046163 
'DA-4','DA-4',-0.141113654,0.202958701,0.202958701,1,-0.141114
'DA-5','DA-5',0.137834037,0.203564748,0.203564748,1,0.137834
'IA-1','IA-1',0.038695652,0.221884728,0.221884728,1,0.038696
'IA-2','IA-2',-0.095946887,0.211305158,0.14941531,2,-0.191894
'IA-3','IA-3',-0.06823832,0.216425479,0.153035924,2,0.094751 -0.231228 
'IA-4','IA-4',0.028489567,0.22377073,0.158229801,2,0.087167 -0.030188 
'NH4Ac-1E-0','NH4Ac-1E-0',-0.012487086,0.226727861,0.160320808,2,0.046454 -0.071429 
'NH4Ac-2E+1','NH4Ac-2E+1',0.124856063,0.205962974,0.145637816,2,0.004459 0.245253 
'NH4Ac-5E-0','NH4Ac-5E-0',0.039749924,0.221689907,0.156758436,2,-0.089731 0.169231 
'NaCl-1E-0','NaCl-1E-0',-0.000467684,0.22894895,0.161891355,2,-0.097436 0.096501 
'NaCl-2E+1','NaCl-2E+1',0.059141547,0.21810649,0.21810649,1,0.059142
'NaCl-2E-1','NaCl-2E-1',0.095285511,0.211427375,0.149501731,2,0.070270 0.120301 
'NaCl-5E-0','NaCl-5E-0',-0.12746254,0.205481318,0.145297233,2,-0.254925
'No','No',-0.011585078,0.087818808,0.012675553,48,-0.065152 0.126577 0.000000 0.005084 0.035854 0.081847 0.066043 0.020106 -0.119552 0.096227 -0.050373 -0.059338 -0.069456 -0.009856 -0.011062 0.048846 -0.016542 0.005065 0.059779 0.070334 -0.059162 0.032460 0.022930 0.003608 -0.273825 -0.083957 -0.112218 -0.092206 -0.006564 -0.146862 -0.025616 0.024691 -0.014743 0.005011 0.090532 0.115553 0.059693 0.028112 0.056014 0.001916 -0.333333 -0.051607 -0.076921 0.042291 0.030229 -0.033968 -0.039707 0.067132 
'PD-2','PD-2',0.084449996,0.213429691,0.150917582,2,0.215455 -0.046555 
'PD-3','PD-3',-0.083049613,0.213688471,0.151100567,2,-0.166099
'PD-4','PD-4',0.04038014,0.221573448,0.156676087,2,0.109679 -0.028918 
'PD-5','PD-5',-0.182272766,0.195352827,0.138135309,2,-0.364545
'Py-2','Py-2',-0.105820106,0.209480666,0.209480666,1,-0.10582
'Py-3','Py-3',0.065217391,0.216983723,0.216983723,1,0.065217
'Py-4','Py-4',-0.007102273,0.227722931,0.227722931,1,-0.007102
'Py-5','Py-5',0.056038647,0.218679881,0.218679881,1,0.056039
'TT-2','TT-2',-0.052269171,0.21937645,0.21937645,1,-0.052269
'TT-3','TT-3',-0.05326087,0.219193192,0.219193192,1,-0.053261
'TT-4','TT-4',-0.063927478,0.217222088,0.217222088,1,-0.063927
'TT-5','TT-5',0.005698579,0.227982322,0.227982322,1,0.005699
