Stimulus A,Stumulus B,Mean chemotaxis index (A relative to B),Standard deviation (measured/estimated),Standard error,Number of days repeated,All measured Chemotaxis indexes
'IA-3','PD-4',-0.336386075,0.166873922,0.117997682,2,-0.672772
'IA-3','PD-5',0.281034919,0.177102373,0.125230289,2,0.285258 0.276812 
'IA-3','Py-2',-0.301020408,0.173409214,0.173409214,1,-0.30102
'IA-3','Py-3',-0.28251148,0.176829516,0.176829516,1,-0.282511
'IA-3','Py-4',0.242018106,0.184312367,0.184312367,1,0.242018
'IA-3','Py-5',0.613965744,0.115579424,0.115579424,1,0.613966
'IA-3','TT-2',-0.23368333,0.185852567,0.092926283,4,-0.934733
'IA-3','TT-3',-0.598554376,0.118427321,0.068374046,3,-1.795663
'IA-3','TT-4',0.178880265,0.195979734,0.195979734,1,0.17888
'IA-3','TT-5',0.748812985,0.090660734,0.090660734,1,0.748813
'IA-4','NH4Ac-1E-0',0.278043594,0.177655146,0.177655146,1,0.278044
'IA-4','NH4Ac-2E+1',-0.106918693,0.209277656,0.209277656,1,-0.106919
'IA-4','NH4Ac-5E-0',0.00067883,0.228909932,0.228909932,1,0.000679
'IA-4','NaCl-1E-0',-0.109497896,0.20880104,0.147644631,2,-0.218996
'IA-4','NaCl-2E+1',-0.486943151,0.139052181,0.09832474,2,-0.973887
'IA-4','NaCl-2E-1',0.292777891,0.174932365,0.123695862,2,0.175287 0.410268 
'IA-4','NaCl-5E-0',-0.464884528,0.143128438,0.101207089,2,-0.929769
'IA-4','No',0.455074911,0.125595539,0.051274164,6,0.377856 0.315625 0.664072 0.505741 0.377493 0.489662 
'IA-4','PD-2',-0.776136287,0.085611607,0.060536548,2,-1.552272
'IA-4','PD-3',-0.786523004,0.083692225,0.059179339,2,-1.573046
'IA-4','PD-4',-0.672010703,0.10485318,0.074142395,2,-1.344021
'IA-4','PD-5',-0.157371989,0.199954291,0.115443664,3,-0.261993 -0.259926 0.049803 
'IA-4','Py-2',-0.717214542,0.096499873,0.096499873,1,-0.717215
'IA-4','Py-3',-0.60258565,0.117682374,0.117682374,1,-0.602586
'IA-4','Py-4',-0.151705986,0.201001323,0.201001323,1,-0.151706
'IA-4','Py-5',0.265848332,0.179908732,0.127214685,2,0.209942 0.321755 
'IA-4','TT-2',-0.136015326,0.203900832,0.203900832,1,-0.136015
'IA-4','TT-3',-0.48519081,0.139376,0.139376,1,-0.485191
'IA-4','TT-4',-0.305723906,0.172540046,0.172540046,1,-0.305724
'IA-4','TT-5',0.184950982,0.194857914,0.137785353,2,0.032767 0.337135 
'NH4Ac-1E-0','NH4Ac-2E+1',-0.429764494,0.149618339,0.105796142,2,-0.859529
'NH4Ac-1E-0','NH4Ac-5E-0',-0.317080613,0.170441417,0.120520282,2,-0.634161
'NH4Ac-1E-0','NaCl-1E-0',-0.349994356,0.164359221,0.11621952,2,-0.699989
'NH4Ac-1E-0','NaCl-2E+1',-0.549694957,0.12745615,0.090125108,2,-1.09939
'NH4Ac-1E-0','NaCl-2E-1',-0.029493481,0.223585215,0.158098622,2,-0.107692 0.048705 
'NH4Ac-1E-0','NaCl-5E-0',-0.650933933,0.108747999,0.076896447,2,-1.301868
'NH4Ac-1E-0','No',0.164973706,0.065999754,0.023334437,8,0.233902 0.132020 0.085514 0.187901 0.205722 0.146667 0.075100 0.252965 
'NH4Ac-1E-0','PD-2',-0.423392062,0.150795913,0.150795913,1,-0.423392
'NH4Ac-1E-0','PD-3',-0.607728581,0.116732001,0.116732001,1,-0.607729
'NH4Ac-1E-0','PD-4',-0.761535371,0.088309739,0.088309739,1,-0.761535
'NH4Ac-1E-0','PD-5',-0.459288011,0.144162629,0.144162629,1,-0.459288
'NH4Ac-1E-0','Py-2',-0.619616444,0.114535219,0.114535219,1,-0.619616
'NH4Ac-1E-0','Py-3',-0.817773994,0.077917292,0.077917292,1,-0.817774
'NH4Ac-1E-0','Py-4',-0.627404154,0.113096113,0.113096113,1,-0.627404
'NH4Ac-1E-0','Py-5',-0.215680344,0.189179375,0.189179375,1,-0.21568
'NH4Ac-1E-0','TT-2',-0.643198906,0.110177369,0.110177369,1,-0.643199
'NH4Ac-1E-0','TT-3',-0.683362113,0.102755531,0.102755531,1,-0.683362
'NH4Ac-1E-0','TT-4',-0.660320914,0.10701336,0.10701336,1,-0.660321
'NH4Ac-1E-0','TT-5',-0.343701368,0.165522115,0.165522115,1,-0.343701
'NH4Ac-2E+1','NH4Ac-5E-0',0.293951852,0.174715427,0.123542463,2,0.374937 0.212966 
'NH4Ac-2E+1','NaCl-1E-0',0.178263261,0.196093752,0.138659222,2,0.185891 0.170636 
'NH4Ac-2E+1','NaCl-2E+1',-0.222234148,0.187968284,0.132913648,2,-0.444468
'NH4Ac-2E+1','NaCl-2E-1',0.446730852,0.146483092,0.103579188,2,0.377315 0.516147 
'NH4Ac-2E+1','NaCl-5E-0',-0.107070121,0.209249674,0.147961863,2,-0.237014 0.022874 
'NH4Ac-2E+1','No',0.594870835,0.122026653,0.043142937,8,0.804324 0.656648 0.636398 0.452902 0.428390 0.530220 0.603244 0.646841 
'NH4Ac-2E+1','PD-2',0.181799612,0.195440262,0.195440262,1,0.1818
'NH4Ac-2E+1','PD-3',-0.036763271,0.222241816,0.222241816,1,-0.036763
'NH4Ac-2E+1','PD-4',-0.40724643,0.153779497,0.153779497,1,-0.407246
'NH4Ac-2E+1','PD-5',-0.051946619,0.219436055,0.219436055,1,-0.051947
'NH4Ac-2E+1','Py-2',0.186157941,0.194634878,0.194634878,1,0.186158
'NH4Ac-2E+1','Py-3',-0.46832972,0.142491794,0.142491794,1,-0.46833
'NH4Ac-2E+1','Py-4',-0.165913055,0.198375971,0.198375971,1,-0.165913
'NH4Ac-2E+1','Py-5',0.037869172,0.222037455,0.222037455,1,0.037869
'NH4Ac-2E+1','TT-2',-0.264443913,0.180168258,0.180168258,1,-0.264444
'NH4Ac-2E+1','TT-3',-0.562266525,0.125133025,0.125133025,1,-0.562267
'NH4Ac-2E+1','TT-4',-0.543098953,0.128675039,0.128675039,1,-0.543099
'NH4Ac-2E+1','TT-5',-0.14888777,0.201522107,0.201522107,1,-0.148888
'NH4Ac-5E-0','NaCl-1E-0',-0.189989494,0.193926838,0.137126982,2,-0.379979
'NH4Ac-5E-0','NaCl-2E+1',-0.368979058,0.160851,0.113738833,2,-0.737958
'NH4Ac-5E-0','NaCl-2E-1',0.214982876,0.189308261,0.133861155,2,0.116786 0.313180 
'NH4Ac-5E-0','NaCl-5E-0',-0.404538304,0.154279937,0.109092389,2,-0.809077
'NH4Ac-5E-0','No',0.415437346,0.108177563,0.038246544,8,0.577637 0.519658 0.497975 0.294575 0.326734 0.394694 0.292913 0.419313 
'NH4Ac-5E-0','PD-2',-0.048748111,0.220027114,0.220027114,1,-0.048748
'NH4Ac-5E-0','PD-3',-0.34818037,0.164694431,0.164694431,1,-0.34818
'NH4Ac-5E-0','PD-4',-0.666694792,0.105835518,0.105835518,1,-0.666695
'NH4Ac-5E-0','PD-5',-0.329106188,0.168219187,0.168219187,1,-0.329106
'NH4Ac-5E-0','Py-2',-0.308960573,0.171941935,0.171941935,1,-0.308961
'NH4Ac-5E-0','Py-3',-0.739892013,0.092309258,0.092309258,1,-0.739892
'NH4Ac-5E-0','Py-4',-0.519198224,0.133091702,0.133091702,1,-0.519198
'NH4Ac-5E-0','Py-5',-0.093357203,0.211783711,0.211783711,1,-0.093357
'NH4Ac-5E-0','TT-2',-0.459491614,0.144125005,0.144125005,1,-0.459492
'NH4Ac-5E-0','TT-3',-0.63825918,0.111090191,0.111090191,1,-0.638259
'NH4Ac-5E-0','TT-4',-0.667638853,0.105661063,0.105661063,1,-0.667639
'NH4Ac-5E-0','TT-5',-0.303656996,0.172921994,0.172921994,1,-0.303657
'NaCl-1E-0','NaCl-2E+1',-0.609637404,0.116379266,0.116379266,1,-0.609637
'NaCl-1E-0','NaCl-2E-1',0.323164357,0.16931719,0.097755325,3,0.375716 0.212520 0.381257 
'NaCl-1E-0','NaCl-5E-0',-0.508552321,0.13505898,0.077976338,3,-1.525657
'NaCl-1E-0','No',0.504064363,0.138487427,0.039977877,12,0.682887 0.449842 0.461935 0.367168 0.593727 0.576601 0.491387 0.381541 0.526234 0.716767 0.227412 0.573272 
'NaCl-1E-0','PD-2',-0.358142096,0.162853584,0.115154874,2,-0.716284
'NaCl-1E-0','PD-3',-0.537308549,0.129745059,0.091743611,2,-1.074617
'NaCl-1E-0','PD-4',-0.51144406,0.134524609,0.095123264,2,-1.022889
'NaCl-1E-0','PD-5',-0.324180781,0.169129363,0.119592519,2,-0.648362
'NaCl-1E-0','Py-2',-0.771059174,0.086549816,0.061199962,2,-1.542118
'NaCl-1E-0','Py-3',-0.734751461,0.093259191,0.065944206,2,-1.469503
'NaCl-1E-0','Py-4',-0.430727799,0.149440328,0.105670269,2,-0.861456
'NaCl-1E-0','Py-5',0.00204332,0.228657785,0.16168547,2,0.053408 -0.049321 
'NaCl-1E-0','TT-2',-0.049398733,0.219906884,0.219906884,1,-0.049399
'NaCl-1E-0','TT-3',-0.729812409,0.094171888,0.094171888,1,-0.729812
'NaCl-1E-0','TT-4',-0.551090333,0.127198296,0.127198296,1,-0.55109
'NaCl-1E-0','TT-5',-0.047999074,0.22016553,0.22016553,1,-0.047999
'NaCl-2E+1','NaCl-2E-1',0.61700481,0.115017829,0.115017829,1,0.617005
'NaCl-2E+1','NaCl-5E-0',0.328390402,0.168351459,0.168351459,1,0.32839
'NaCl-2E+1','No',0.755318812,0.100447885,0.03176441,10,0.742214 0.727842 0.879676 0.838833 0.797046 0.906952 0.721176 0.702334 0.644324 0.592791 
'NaCl-2E+1','PD-2',0.289050982,0.175621069,0.124182848,2,0.320436 0.257666 
'NaCl-2E+1','PD-3',-0.100699037,0.210426999,0.148794358,2,-0.201399
'NaCl-2E+1','PD-4',-0.16251322,0.199004233,0.140717243,2,-0.358693 0.033667 
'NaCl-2E+1','PD-5',0.414371982,0.152462752,0.107807446,2,0.306065 0.522679 
'NaCl-2E+1','Py-2',-0.268307232,0.179454347,0.103608016,3,-0.804921
'NaCl-2E+1','Py-3',-0.136389481,0.203831691,0.117682281,3,-0.409168
'NaCl-2E+1','Py-4',0.053482952,0.219152153,0.126527555,3,0.123094 0.147146 -0.109791 
'NaCl-2E+1','Py-5',0.438856764,0.14793816,0.085412137,3,0.483912 0.562155 0.270504 
'NaCl-2E+1','TT-2',0.461417848,0.143769053,0.101660072,2,0.672375 0.250461 
'NaCl-2E+1','TT-3',-0.414144159,0.152504852,0.107837215,2,-0.828288
'NaCl-2E+1','TT-4',-0.049394486,0.219907669,0.155498204,2,0.075377 -0.174166 
'NaCl-2E+1','TT-5',0.429863055,0.149600126,0.105783263,2,0.508565 0.351161 
'NaCl-2E-1','NaCl-5E-0',-0.693689609,0.100847092,0.058224096,3,-2.081069
'NaCl-2E-1','No',0.20982002,0.077374067,0.019343517,16,0.226597 0.157934 0.126192 0.148337 0.132101 0.290095 0.358635 0.152783 0.137800 0.361638 0.165452 0.195079 0.200730 0.173967 0.277452 0.252329 
'NaCl-2E-1','PD-2',-0.591569164,0.119718132,0.084653503,2,-1.183138
'NaCl-2E-1','PD-3',-0.802279026,0.080780638,0.057120537,2,-1.604558
'NaCl-2E-1','PD-4',-0.801372003,0.080948248,0.057239055,2,-1.602744
'NaCl-2E-1','PD-5',-0.504173004,0.135868242,0.096073356,2,-1.008346
'NaCl-2E-1','Py-2',-0.824591057,0.076657553,0.054205076,2,-1.649183
'NaCl-2E-1','Py-3',-0.744980602,0.091368928,0.064607588,2,-1.489961
