Fish_ID,Date,Comp_Num,Comparison,Stimulus,Area_large,Area_small,Stimulus_Side,Time_with_Stim,Latency_to_Visit,Visits_to_Stim
RedBlue,11-Mar,1,120v70,120,1054,363,Left,98,0.4,9
RedBlue,11-Mar,1,120v70,70,1054,363,Right,33.7,55.8,4
RedGreen,8-Mar,1,120v70,120,1054,363,Left,158.1,21.9,1
RedGreen,8-Mar,1,120v70,70,1054,363,Right,0,0,0
RedGreen,10-Mar,1,120v70,120,1054,363,Right,81.6,76.8,1
RedGreen,10-Mar,1,120v70,70,1054,363,Left,17.7,162.4,1
RedGreenGreen,8-Mar,1,120v70,120,1054,363,Left,75.2,55,6
RedGreenGreen,8-Mar,1,120v70,70,1054,363,Right,8.4,105.9,1
RedGreenGreen,10-Mar,1,120v70,120,1054,363,Right,98.8,2.7,4
RedGreenGreen,10-Mar,1,120v70,70,1054,363,Left,55.4,51.4,4
RedOrange,8-Mar,1,120v70,120,1054,363,Left,39.8,10.7,4
RedOrange,8-Mar,1,120v70,70,1054,363,Right,101.2,33,9
RedOrange,10-Mar,1,120v70,120,1054,363,Right,49.7,2.6,5
RedOrange,10-Mar,1,120v70,70,1054,363,Left,40.8,93.9,6
RedRed,8-Mar,1,120v70,120,1054,363,Left,105.5,12.2,4
RedRed,8-Mar,1,120v70,70,1054,363,Right,43.5,53.3,6
RedRed,10-Mar,1,120v70,120,1054,363,Right,38.6,71.3,5
RedRed,10-Mar,1,120v70,70,1054,363,Left,70.5,10.4,1
RedRedRed,8-Mar,1,120v70,120,1054,363,Left,17,0,1
RedRedRed,8-Mar,1,120v70,70,1054,363,Right,87.4,57.1,7
RedRedRed,10-Mar,1,120v70,120,1054,363,Right,49.5,10.9,4
RedRedRed,10-Mar,1,120v70,70,1054,363,Left,78.4,26.1,11
Blue,16-Mar,3,97v70,97,692,363,Left,92.2,52.1,5
Blue,16-Mar,3,97v70,70,692,363,Right,8.8,118.7,1
Blue,18-Mar,3,97v70,97,692,363,Right,102.9,45.4,2
Blue,18-Mar,3,97v70,70,692,363,Left,0,0,0
BluePink,15-Mar,3,97v70,97,692,363,Right,88.9,25.3,4
BluePink,15-Mar,3,97v70,70,692,363,Left,38.4,55.7,3
BluePink,17-Mar,3,97v70,97,692,363,Left,0,0,0
BluePink,17-Mar,3,97v70,70,692,363,Right,0,0,0
Green,15-Mar,3,97v70,97,692,363,Right,101.8,117.2,1
Green,15-Mar,3,97v70,70,692,363,Left,44.2,91.7,4
Green,17-Mar,3,97v70,97,692,363,Left,106.7,0.1,2
Green,17-Mar,3,97v70,70,692,363,Right,53.2,102.4,1
GreenBlue,16-Mar,3,97v70,97,692,363,Right,42.3,121.6,2
GreenBlue,16-Mar,3,97v70,70,692,363,Left,56.2,52.8,5
GreenBlue,18-Mar,3,97v70,97,692,363,Left,85.2,47.6,6
GreenBlue,18-Mar,3,97v70,70,692,363,Right,31.2,27.1,3
GreenGreen,15-Mar,3,97v70,97,692,363,Right,131.5,32.2,2
GreenGreen,15-Mar,3,97v70,70,692,363,Left,19.6,6.8,1
GreenGreen,17-Mar,3,97v70,97,692,363,Left,166.8,11.2,2
GreenGreen,17-Mar,3,97v70,70,692,363,Right,0,0,0
GreenOrange,15-Mar,3,97v70,97,692,363,Right,52.7,8.3,7
GreenOrange,15-Mar,3,97v70,70,692,363,Left,82.5,58.1,4
GreenOrange,17-Mar,3,97v70,97,692,363,Left,78.6,74,2
GreenOrange,17-Mar,3,97v70,70,692,363,Right,64.8,5.7,2
GreenRed,15-Mar,3,97v70,97,692,363,Right,161.9,17.4,2
GreenRed,15-Mar,3,97v70,70,692,363,Left,12,10.2,1
GreenRed,17-Mar,3,97v70,97,692,363,Left,110.7,52.2,3
GreenRed,17-Mar,3,97v70,70,692,363,Right,2.3,177.8,1
Orange,15-Mar,3,97v70,97,692,363,Right,45,20.6,5
Orange,15-Mar,3,97v70,70,692,363,Left,0,0,0
Orange,17-Mar,3,97v70,97,692,363,Left,0,0,0
Orange,17-Mar,3,97v70,70,692,363,Right,144.2,28.9,4
OrangeBlue,15-Mar,3,97v70,97,692,363,Right,0,0,0
OrangeBlue,15-Mar,3,97v70,70,692,363,Left,0,0,0
OrangeBlue,17-Mar,3,97v70,97,692,363,Left,0,0,0
OrangeBlue,17-Mar,3,97v70,70,692,363,Right,0,0,0
OrangeOrange,15-Mar,3,97v70,97,692,363,Right,60.8,87.3,2
OrangeOrange,15-Mar,3,97v70,70,692,363,Left,55.4,28.3,3
OrangeOrange,17-Mar,3,97v70,97,692,363,Left,76.1,31.2,4
OrangeOrange,17-Mar,3,97v70,70,692,363,Right,49.3,12.6,12
OrangePink,16-Mar,3,97v70,97,692,363,Left,36.7,70.9,3
OrangePink,16-Mar,3,97v70,70,692,363,Right,62.2,117.8,1
OrangePink,18-Mar,3,97v70,97,692,363,Right,0,0,0
OrangePink,18-Mar,3,97v70,70,692,363,Left,0,0,0
OrangeRed,16-Mar,3,97v70,97,692,363,Left,40.4,105.6,1
OrangeRed,16-Mar,3,97v70,70,692,363,Right,110.8,0.7,3
OrangeRed,18-Mar,3,97v70,97,692,363,Right,74.9,104.1,1
OrangeRed,18-Mar,3,97v70,70,692,363,Left,44.4,49.7,1
Pink,16-Mar,3,97v70,97,692,363,Left,133.9,19.2,2
Pink,16-Mar,3,97v70,70,692,363,Right,13,45.8,2
Pink,18-Mar,3,97v70,97,692,363,Right,41.9,79.9,1
Pink,18-Mar,3,97v70,70,692,363,Left,37.2,129.6,1
PinkBlue,16-Mar,3,97v70,97,692,363,Left,117.4,1.7,6
PinkBlue,16-Mar,3,97v70,70,692,363,Right,18.6,57.7,3
PinkBlue,18-Mar,3,97v70,97,692,363,Right,16.2,126.4,1
PinkBlue,18-Mar,3,97v70,70,692,363,Left,122.8,27.9,2
PinkOrange,16-Mar,3,97v70,97,692,363,Left,142.6,11.6,2
PinkOrange,16-Mar,3,97v70,70,692,363,Right,22.1,34.3,1
PinkOrange,18-Mar,3,97v70,97,692,363,Right,89.2,53.6,2
PinkOrange,18-Mar,3,97v70,70,692,363,Left,27.8,76.4,1
PinkPink,15-Mar,3,97v70,97,692,363,Right,37.8,5.8,3
PinkPink,15-Mar,3,97v70,70,692,363,Left,100.9,29.9,3
PinkPink,17-Mar,3,97v70,97,692,363,Left,38.8,70.7,2
PinkPink,17-Mar,3,97v70,70,692,363,Right,99.7,9.5,2
PinkRed,16-Mar,3,97v70,97,692,363,Left,52.7,36.5,3
PinkRed,16-Mar,3,97v70,70,692,363,Right,29.8,46.5,2
PinkRed,18-Mar,3,97v70,97,692,363,Right,47,23.9,1
PinkRed,18-Mar,3,97v70,70,692,363,Left,0,0,0
Red,16-Mar,3,97v70,97,692,363,Left,24.3,38.5,9
Red,16-Mar,3,97v70,70,692,363,Right,93.2,47.3,7
Red,18-Mar,3,97v70,97,692,363,Right,27.4,152.6,1
Red,18-Mar,3,97v70,70,692,363,Left,21.4,128.2,1
RedBlue,16-Mar,3,97v70,97,692,363,Left,55.9,27.8,3
RedBlue,16-Mar,3,97v70,70,692,363,Right,88.8,70.7,2
RedBlue,18-Mar,3,97v70,97,692,363,Right,108.5,0.3,5
RedBlue,18-Mar,3,97v70,70,692,363,Left,30.6,105.8,2
RedGreen,15-Mar,3,97v70,97,692,363,Right,46.5,130,4
RedGreen,15-Mar,3,97v70,70,692,363,Left,0,0,0
RedGreen,17-Mar,3,97v70,97,692,363,Left,3.4,94.8,1
RedGreen,17-Mar,3,97v70,70,692,363,Right,97.1,73.4,3
RedGreenGreen,15-Mar,3,97v70,97,692,363,Right,73.3,28.1,4
RedGreenGreen,15-Mar,3,97v70,70,692,363,Left,40.7,89.5,2
RedGreenGreen,17-Mar,3,97v70,97,692,363,Left,45.6,41.3,2
RedGreenGreen,17-Mar,3,97v70,70,692,363,Right,73.6,1,3
RedOrange,15-Mar,3,97v70,97,692,363,Right,20.5,17.4,10
RedOrange,15-Mar,3,97v70,70,692,363,Left,61,7.4,8
RedOrange,17-Mar,3,97v70,97,692,363,Left,48.1,46.7,7
RedOrange,17-Mar,3,97v70,70,692,363,Right,5.8,17.2,7
RedRed,15-Mar,3,97v70,97,692,363,Right,17.9,29.7,2
RedRed,15-Mar,3,97v70,70,692,363,Left,24.4,36.8,3
RedRed,17-Mar,3,97v70,97,692,363,Left,60.8,10.8,7
RedRed,17-Mar,3,97v70,70,692,363,Right,84.3,15.1,3
RedRedRed,15-Mar,3,97v70,97,692,363,Right,109.3,36.9,9
RedRedRed,15-Mar,3,97v70,70,692,363,Left,11.2,10,2
RedRedRed,17-Mar,3,97v70,97,692,363,Left,107.4,21.8,3
RedRedRed,17-Mar,3,97v70,70,692,363,Right,14.6,144,1
Blue,26-Mar,2,120v100,120,1054,721,Left,60.9,52,4
Blue,26-Mar,2,120v100,100,1054,721,Right,45.1,71.8,3
Blue,24-Mar,2,120v100,120,1054,721,Right,55.8,46.6,3
Blue,24-Mar,2,120v100,100,1054,721,Left,79.9,28.2,4
BluePink,23-Mar,2,120v100,120,1054,721,Left,43.2,102.4,1
BluePink,23-Mar,2,120v100,100,1054,721,Right,0,0,0
BluePink,25-Mar,2,120v100,120,1054,721,Right,54.5,28.4,2
BluePink,25-Mar,2,120v100,100,1054,721,Left,0,0,0
Green,23-Mar,2,120v100,120,1054,721,Left,21.6,29.7,7
Green,23-Mar,2,120v100,100,1054,721,Right,23,2.5,3
