group,u,s,m,l
real,0.050731767,0.276662457,0.33181716,0.340788616
real,0.033087581,0.192346479,0.337808515,0.436757424
real,0.048001985,0.252328345,0.335666677,0.364002993
real,0.042672759,0.236293034,0.335408329,0.385625878
real,0.044537804,0.235970008,0.338003089,0.3814891
real,0.040786523,0.25693447,0.337699283,0.364579723
real,0.046601089,0.231892821,0.3341576,0.38734849
real,0.044672596,0.258748035,0.33761064,0.358968729
real,0.039338641,0.269715046,0.337518064,0.353428248
real,0.029703096,0.202290597,0.343853637,0.42415267
real,0.039012439,0.212730512,0.340659239,0.40759781
real,0.053565208,0.266384132,0.329618746,0.350431915
real,0.041850825,0.255023086,0.335593335,0.367532754
real,0.049810772,0.265202307,0.332826751,0.35216017
real,0.045630303,0.214161018,0.331209988,0.408998691
real,0.052922713,0.254963211,0.330835239,0.361278837
real,0.046490418,0.263791687,0.333996256,0.355721639
real,0.048831478,0.271135319,0.334530114,0.345503089
real,0.030152701,0.227613422,0.347290591,0.394943286
real,0.045181432,0.257560706,0.334610406,0.362647457
real,0.050546095,0.240981325,0.330420881,0.3780517
real,0.0328455,0.187026746,0.335192953,0.444934801
real,0.045062683,0.23838703,0.330256081,0.386294207
real,0.039334651,0.201345881,0.344987173,0.414332296
real,0.040216169,0.251568013,0.339201267,0.369014551
real,0.048982892,0.226714487,0.329930002,0.394372619
real,0.048193045,0.20808184,0.313279333,0.430445782
real,0.05183059,0.246903989,0.327804592,0.373460829
real,0.048110545,0.217286103,0.324301289,0.410302063
real,0.030249689,0.215669766,0.338611741,0.415468804
real,0.052447467,0.268302983,0.331192341,0.348057209
real,0.030852641,0.201024417,0.336412444,0.431710498
real,0.042031083,0.199794744,0.331940859,0.426233314
real,0.034084358,0.211512032,0.337324415,0.417079196
real,0.031148025,0.225935081,0.345427005,0.39748989
real,0.045255935,0.197474424,0.325779149,0.431490492
real,0.043430004,0.20836182,0.331526001,0.416682176
real,0.050274201,0.267128826,0.331511493,0.351085479
real,0.043688419,0.255429194,0.337282006,0.363600381
real,0.053323027,0.26921157,0.329613158,0.347852245
real,0.054847164,0.268996606,0.327601089,0.348555141
real,0.046419729,0.221907386,0.332797457,0.398875428
real,0.045495675,0.23073915,0.335566227,0.388198948
real,0.034949114,0.247786151,0.341588958,0.375675776
real,0.030700044,0.230750776,0.345554639,0.39299454
real,0.033810484,0.211705171,0.343923663,0.410560682
real,0.039404756,0.263515355,0.342218899,0.354860989
real,0.051104367,0.217531685,0.324763214,0.406600734
real,0.044463837,0.241969094,0.329671467,0.383895603
real,0.028575322,0.233269296,0.342084932,0.39607045
real,0.052369871,0.263115736,0.331360486,0.353153907
real,0.0567078,0.269372098,0.328952018,0.344968085
real,0.053521313,0.264535478,0.331070472,0.350872737
real,0.051194217,0.26009601,0.332102945,0.356606828
real,0.039901069,0.241710099,0.339742778,0.378646054
real,0.046158692,0.263820674,0.337414716,0.352605918
real,0.024700133,0.157150567,0.338125633,0.480023667
real,0.050846982,0.268929442,0.331814909,0.348408667
real,0.040796484,0.237472662,0.333804098,0.387926756
real,0.050794041,0.244030311,0.330014357,0.375161291
real,0.050180222,0.251578403,0.330249848,0.367991527
real,0.051394021,0.286377867,0.331915645,0.330312467
real,0.049225147,0.241755449,0.329617551,0.379401853
real,0.057810419,0.270554244,0.328087237,0.3435481
real,0.056298831,0.270453391,0.328826354,0.344421424
real,0.054364475,0.267668411,0.328701951,0.349265162
real,0.045838106,0.261737832,0.33672743,0.355696632
real,0.028763015,0.227780489,0.348202014,0.395254482
real,0.05028356,0.257546989,0.330620131,0.36154932
real,0.045110693,0.261548772,0.334812025,0.35852851
real,0.030829633,0.233913592,0.324636503,0.410620272
real,0.035205871,0.242821085,0.328827047,0.393145997
real,0.058553047,0.267395581,0.326061389,0.347989984
real,0.044506894,0.254060377,0.331541912,0.369890816
real,0.033520433,0.233611943,0.336139378,0.396728246
real,0.047682786,0.259667104,0.334602378,0.358047732
real,0.039123759,0.247616946,0.335132669,0.378126626
real,0.049738788,0.256598599,0.331207338,0.362455275
real,0.049652015,0.244553711,0.3328518,0.372942475
real,0.046012399,0.207736432,0.320735708,0.425515462
real,0.045981559,0.307504795,0.33052072,0.315992926
real,0.045170765,0.230844582,0.319900479,0.404084174
real,0.031850546,0.228317434,0.332557782,0.407274238
real,0.037689682,0.242884183,0.331933991,0.387492145
real,0.032428113,0.198655264,0.325304061,0.443612561
real,0.032111683,0.197388567,0.323747573,0.446752177
real,0.028348644,0.205033597,0.348520485,0.418097274
real,0.032109813,0.227751593,0.345507055,0.394631539
real,0.051953291,0.2627597,0.330677419,0.354609589
real,0.037941363,0.246846519,0.340216669,0.374995449
real,0.044242626,0.258660452,0.336918895,0.360178027
real,0.036949806,0.245177064,0.341080931,0.3767922
real,0.040051754,0.250350106,0.338504046,0.371094094
real,0.045809516,0.26123365,0.337232054,0.355724779
real,0.042061516,0.256923962,0.338154231,0.36286029
real,0.040462279,0.249363795,0.340678204,0.369495722
real,0.0492954,0.284446289,0.331776247,0.334482065
real,0.048023351,0.246393856,0.333378833,0.37220396
real,0.034969944,0.29185242,0.336320675,0.33685696
real,0.050606983,0.230572774,0.318990723,0.399829519
real,0.050577766,0.26328049,0.332421997,0.353719747
real,0.038905333,0.259582394,0.338903319,0.362608955
real,0.045747338,0.218299208,0.328862204,0.407091249
real,0.03167996,0.203576637,0.3438202,0.420923203
real,0.041603677,0.255871703,0.336365622,0.366158999
real,0.04552745,0.216517536,0.323914333,0.414040681
real,0.045157702,0.256639235,0.335851135,0.362351928
real,0.041889294,0.224257717,0.333269046,0.400583944
real,0.035275516,0.214406691,0.339945252,0.410372542
real,0.04221967,0.207775027,0.32352097,0.426484333
real,0.017574204,0.18781474,0.342700491,0.451910565
real,0.044517291,0.301115684,0.337495742,0.316871284
real,0.051933654,0.260977259,0.333040112,0.354048976
real,0.044795621,0.228306477,0.335260352,0.391637551
real,0.036995254,0.207737092,0.340514978,0.414752676
real,0.054616782,0.258182707,0.327269339,0.359931172
real,0.046552699,0.243649541,0.330009846,0.379787914
real,0.0497736,0.248605458,0.328485204,0.373135738
real,0.047133551,0.252220448,0.331626239,0.369019763
real,0.044372388,0.235296214,0.331466103,0.388865295
real,0.039517798,0.226641298,0.327416996,0.406423908
real,0.052001314,0.276994712,0.330677791,0.340326183
real,0.050443007,0.251175288,0.328451472,0.369930233
real,0.054316694,0.27364257,0.329059563,0.342981173
real,0.054304617,0.267886096,0.329947969,0.347861318
real,0.054059588,0.269017983,0.330328578,0.34659385
real,0.040806063,0.244486693,0.338626972,0.376080271
real,0.039407793,0.24919068,0.340939556,0.37046197
real,0.025763921,0.220218789,0.350733805,0.403283485
real,0.035294967,0.240575825,0.343052019,0.381077188
real,0.040489623,0.252076021,0.338642175,0.368792181
real,0.045727821,0.256158707,0.334743782,0.36336969
real,0.050631849,0.257231639,0.332774131,0.359362382
real,0.051031559,0.246469452,0.3313851,0.371113889
real,0.041328891,0.216887303,0.339482419,0.402301387
real,0.05147036,0.258361338,0.330924159,0.359244143
real,0.05078288,0.263376024,0.334452119,0.351388977
real,0.047512292,0.235692709,0.328652003,0.388142996
real,0.048256094,0.268578707,0.332254105,0.350911094
real,0.042930993,0.221051962,0.32329058,0.412726464
real,0.044484903,0.20717226,0.315306298,0.433036539
real,0.044463733,0.221607042,0.320885492,0.413043733
real,0.051190445,0.270323721,0.333020448,0.345465386
real,0.04991944,0.257749671,0.3315737,0.360757189
real,0.033537426,0.246549435,0.344338594,0.375574545
real,0.032380674,0.239584098,0.346610633,0.381424596
real,0.039106398,0.232933652,0.342320414,0.385639536
real,0.03814141,0.252421771,0.342202571,0.367234248
real,0.03957291,0.259711719,0.340265825,0.360449546
real,0.034171546,0.244155694,0.344236731,0.377436029
real,0.03825274,0.252174277,0.341586279,0.367986704
real,0.053263114,0.263332208,0.330627726,0.352776952
real,0.037782448,0.1919265,0.318433756,0.451857297
real,0.044800772,0.273276726,0.331049634,0.350872868
real,0.044193088,0.274159688,0.334364276,0.347282948
real,0.021923328,0.227854369,0.351124696,0.399097606
real,0.053635347,0.233210718,0.325048557,0.388105378
real,0.034686522,0.334006996,0.337040925,0.294265557
real,0.037445494,0.245028738,0.338145169,0.379380599
real,0.035679244,0.248581823,0.338075144,0.377663789
real,0.034726102,0.247568082,0.337060569,0.380645248
real,0.03287601,0.240492383,0.340694461,0.385937146
real,0.051649488,0.263997734,0.332812299,0.351540478
real,0.041361201,0.289937599,0.335236795,0.333464406
real,0.046481062,0.21612894,0.331185119,0.406204879
real,0.046074814,0.207579471,0.332265548,0.414080168
real,0.033319424,0.161454256,0.313483724,0.491742596
real,0.042460018,0.243105375,0.339355812,0.375078795
real,0.053140855,0.270727472,0.329697334,0.34643434
real,0.055324276,0.268809595,0.329209315,0.346656814
real,0.045383743,0.278788271,0.338725787,0.3371022
real,0.053073955,0.268126918,0.329764147,0.34903498
real,0.049775926,0.277764715,0.332114228,0.34034513
real,0.056780853,0.270682517,0.327117258,0.345419372
real,0.038386781,0.245615131,0.335759431,0.380238657
real,0.042000473,0.290267796,0.334921458,0.332810273
real,0.041324254,0.291374218,0.336255458,0.331046069
real,0.041110607,0.266746119,0.333140379,0.359002895
real,0.04186787,0.284506139,0.335011716,0.338614275
real,0.051271571,0.256625678,0.332104518,0.359998234
real,0.050595644,0.224819862,0.314368317,0.410216177
real,0.033122625,0.227066522,0.34098116,0.398829692
real,0.044558595,0.268346692,0.337247623,0.34984709
real,0.040576398,0.243432708,0.336129357,0.379861537
real,0.034098944,0.281632133,0.340504737,0.343764187
real,0.036418626,0.29184534,0.337170484,0.33456555
real,0.044633002,0.248922081,0.335739174,0.370705744
real,0.037461544,0.331593523,0.342389234,0.2885557
real,0.043345358,0.283069653,0.337302378,0.336282611
real,0.04849242,0.268930552,0.334638177,0.347938851
real,0.04790148,0.283198439,0.332203833,0.336696248
real,0.026143345,0.224464721,0.347703271,0.401688664
real,0.029552569,0.236400675,0.346814433,0.387232323
real,0.034351267,0.24606571,0.343878418,0.375704605
real,0.035895556,0.251889087,0.341826683,0.370388673
real,0.045205684,0.255595042,0.336424157,0.362775117
real,0.042928816,0.22744963,0.324736566,0.404884989
real,0.043050489,0.233021513,0.339381823,0.384546175
real,0.049128675,0.263083588,0.332129964,0.355657773
real,0.048477334,0.256947717,0.328632827,0.365942122
real,0.03487076,0.203862079,0.338655881,0.42261128
real,0.045395963,0.240982791,0.332527798,0.381093448
real,0.047682057,0.252809409,0.333840623,0.365667912
real,0.020495909,0.19849189,0.341054242,0.439957959
real,0.036403794,0.20890077,0.332077527,0.422617909
real,0.046113227,0.286387165,0.337409207,0.330090401
real,0.040132762,0.251449353,0.344858988,0.363558897
real,0.057398725,0.275744095,0.329042791,0.337814389
real,0.057843169,0.269071134,0.3279533,0.345132397
real,0.02665157,0.209754171,0.343165689,0.42042857
real,0.047452306,0.230464875,0.323402035,0.398680784
real,0.03840177,0.29344454,0.33559233,0.332561361
real,0.059532851,0.271531765,0.326389572,0.342545812
real,0.046683663,0.252020535,0.333733118,0.367562684
real,0.045036612,0.259360246,0.336811391,0.358791752
real,0.0434157,0.238969891,0.344738491,0.372875919
real,0.049149149,0.261497666,0.333328571,0.356024614
real,0.048002979,0.258595958,0.33408754,0.359313523
real,0.051605294,0.264068191,0.331448901,0.352877614
real,0.050105772,0.264778222,0.33354882,0.351567186
real,0.047617335,0.25511288,0.334560256,0.362709529
real,0.04336095,0.252115139,0.337069908,0.367454003
real,0.046704741,0.254584426,0.334071004,0.364639828
real,0.055649211,0.234369876,0.31655938,0.393421534
real,0.057831103,0.249657379,0.314883876,0.377627642
real,0.03221562,0.251876447,0.344050259,0.371857675
real,0.037506779,0.258370116,0.340442234,0.36368087
real,0.044141948,0.247929829,0.336370644,0.371557578
real,0.041469583,0.274044569,0.336813453,0.347672395
real,0.042848568,0.264295357,0.3358098,0.357046274
real,0.036917765,0.229354232,0.337770528,0.395957475
real,0.042319177,0.27996259,0.337560596,0.340157637
real,0.040894553,0.219924885,0.339438398,0.399742165
real,0.050248258,0.247060203,0.334616485,0.368075054
real,0.052036058,0.27060883,0.331564685,0.345790427
real,0.04645041,0.242246114,0.345506562,0.365796915
real,0.043948027,0.210005884,0.327981741,0.418064348
real,0.032324712,0.217675367,0.330209411,0.41979051
real,0.055856463,0.260514455,0.326335962,0.35729312
real,0.055529495,0.268741013,0.329033279,0.346696213
real,0.042329826,0.259657549,0.334619445,0.36339318
real,0.047633461,0.240091591,0.335123629,0.37715132
real,0.043871838,0.260619076,0.335258414,0.360250672
real,0.049933705,0.263385066,0.332343988,0.354337241
real,0.044132205,0.231662664,0.333276692,0.390928439
real,0.037227972,0.257104097,0.342161317,0.363506613
real,0.052196239,0.272627878,0.333045723,0.34213016
real,0.05094215,0.238544207,0.327973697,0.382539945
real,0.05332221,0.283562596,0.332027795,0.331087399
real,0.049957167,0.281652644,0.330440896,0.337949293
real,0.050550048,0.254121471,0.32900072,0.366327761
real,0.054503019,0.266752237,0.328979751,0.349764993
real,0.025601396,0.230007723,0.347230665,0.397160217
real,0.037263906,0.254490807,0.341497651,0.366747636
real,0.053109612,0.268865098,0.329891667,0.348133623
real,0.046065379,0.288156482,0.334755088,0.331023052
real,0.040037081,0.295998553,0.335691539,0.328272827
real,0.042353645,0.295637249,0.333948533,0.328060572
real,0.049584736,0.251772217,0.329589227,0.36905382
real,0.053413647,0.253247646,0.330413536,0.362925171
real,0.043471363,0.23402738,0.330856098,0.391645158
real,0.054163919,0.269212609,0.329811935,0.346811537
