Ant	Angle	lenA	lenB	frame	minimo	massimo	sommatot	somma1	somma2	somma3	somma4	somma5	somma6	somma7	somma8
Aree: 45 45 45 45 45 45 45 45 
10245	-5	13	11	0	108	29344	586728	57262	55484	62245	62228	57779	56205	43258	67718	
10251	12	11	7	0	2426	66880	3.52452e+06	585970	305640	312378	347762	251048	271881	356896	468526	
10251	-156	9	4	0	2876	33408	3.98459e+06	321446	595506	681853	389159	419626	355112	255086	261452	
10251	15	16	13	0	109	33275	677818	67650	58691	64172	75689	98318	86841	41865	63251	
10251	16	13	11	0	1140	224579	1.79289e+06	146179	172540	130528	136067	146304	246826	332745	162337	
10251	-21	4	7	0	2207	33146	3.88609e+06	286496	473220	340526	243246	488922	546904	306952	459244	
10251	-23	8	7	0	2732	32556	4.94684e+06	795132	606962	483704	259721	357861	340188	526914	709558	
10251	-26	2	2	0	2593	64174	4.60482e+06	297775	248553	354513	446812	428980	625023	863957	464501	
10251	-27	12	12	0	2166	33659	2.4475e+06	161560	168201	224903	263574	344102	309534	258070	293264	
10251	-2	7	5	0	3405	32134	5.04534e+06	402791	509529	454542	613497	703930	409004	433931	593956	
10251	-30	15	12	0	656	34052	1.52321e+06	77689	156179	148966	127585	194812	204373	172167	177540	
10251	30	4	4	0	2756	33625	5.98954e+06	782130	698776	258938	413245	373790	320809	978468	1.02135e+06	
10251	34	11	12	0	2	12599	473881	28812	28220	52923	48149	81085	65138	49917	33051	
10251	36	14	15	0	0	7177	719324	51199	71587	115813	77013	98735	81848	62243	39358	
10251	37	5	5	0	1791	33361	4.5684e+06	817759	485196	275098	251912	478460	504037	455875	433277	
10251	43	7	7	0	3248	32489	4.24969e+06	516187	467082	520214	378550	563785	253624	360002	430674	
10251	45	4	3	0	2705	33561	5.1181e+06	528910	315559	282045	341741	656086	618166	679643	726717	
10251	49	4	14	0	1028	33315	1.52648e+06	94845	155657	157245	183916	163450	137255	204195	153209	
10251	-4	14	12	0	488	34708	1.42643e+06	156080	144000	163426	135898	126703	145772	122750	175849	
10251	-52	8	9	0	1925	33408	3.30695e+06	185544	169064	201357	352664	605269	494078	510729	198795	
10251	-63	6	9	0	1810	138348	2.4857e+06	215753	219586	285662	388241	212975	259117	237457	181226	
10251	90	8	2	0	3677	32060	4.67949e+06	256866	411327	391147	627472	623870	736185	526577	321784	
10251	9	5	9	0	2884	34360	5.36763e+06	388943	331931	356070	849375	824149	354729	677888	415223	
10302	-105	3	3	0	687	44857	2.27434e+06	516600	249071	190249	187228	197984	144611	139244	195691	
10302	-10	6	5	0	762	45216	1.71012e+06	185629	125372	136569	129780	237862	167870	177616	236347	
1031	-10	7	6	0	0	8225	73259	11176	8861	4316	4565	4884	3597	4034	18712	
1031	24	8	6	0	0	6981	73503	7890	12052	23726	8431	1812	4789	3676	2899	
1031	36	6	4	0	0	7124	94828	7645	6191	15918	11142	15893	13784	3910	3625	
1031	45	1	1	0	0	10469	57733	470	7336	21034	8227	0	822	3803	4230	
1031	45	1	5	0	0	9959	48698	4473	5081	802	7818	16710	3880	0	816	
1031	-4	9	5	0	0	6972	54706	7613	8499	5863	8096	9147	26	0	2776	
1039	-11	13	15	0	0	3803	37630	0	0	10094	5309	6814	8185	0	0	
1039	-129	5	7	0	0	3900	279847	875	13971	42086	46939	51208	14119	46454	5178	
1039	12	13	9	0	0	3841	88454	9829	10896	18992	15003	6906	8850	2157	770	
1039	-12	9	9	0	0	12238	167505	30591	29374	7477	6317	1063	27925	11303	26086	
1039	13	13	8	0	0	4191	84814	5749	5758	2641	2823	22664	21840	294	9969	
1039	14	13	4	0	0	3893	55672	0	6315	6616	11686	2939	9004	11800	871	
1039	-16	10	11	0	0	3876	204761	5755	11905	7650	34816	45238	25067	30430	12259	
1039	-180	9	3	0	0	3810	4023	0	708	1434	0	1188	0	0	0	
1039	-1	13	14	0	0	14039	141352	3985	14673	3973	22210	38756	13576	6490	8596	
1039	23	10	8	0	0	11271	218339	25503	39680	38760	46707	8963	4256	14949	7996	
1039	-24	11	12	0	0	12026	64333	694	7698	1741	3988	11056	8547	7039	10534	
1039	-26	19	17	0	0	4779	15167	2359	1933	0	0	0	1136	5916	1732	
1039	31	11	9	0	0	6489	226084	37784	25637	32338	31021	23252	13217	5643	8667	
1039	33	12	10	0	0	3567	90549	26081	21823	6653	2502	222	106	12914	5405	
1039	-34	13	13	0	0	3943	46783	2586	5517	14414	302	704	9392	1282	183	
1039	45	10	14	0	0	3951	109235	11391	297	7729	11535	32467	11974	11179	3513	
1039	48	12	1	0	0	3560	375054	71337	49683	16651	17256	15608	18807	50696	48219	
1039	-50	12	9	0	0	8947	64494	1028	23	97	5786	10035	16476	11255	5902	
1039	-68	5	3	0	0	4942	258368	12050	46729	29050	14023	28165	32967	22483	10792	
1039	7	15	13	0	0	3938	91011	624	40	0	10730	31753	11063	12578	10297	
1039	7	4	5	0	0	3848	418350	72905	17161	18357	41793	54039	55097	35614	33146	
