time_from_onset,percent_b,reference
2.43159971,5.555555556,25
7.416379115,5.938697318,25
12.40115852,11.49425287,25
22.37071733,40.03831418,25
27.11233677,57.66283525,25
32.46185613,72.79693487,25
37.44663553,75.09578544,25
42.30983495,83.52490421,25
47.17303437,87.35632184,25
