intensity,percent_B,reference
3.636413837,5.780346821,22
5.719055353,6.936416185,22
7.276556315,8.092485549,22
11.44397481,15.02890173,22
19.06919124,31.98458574,22
29.13607733,66.85934489,22
42.8344932,68.01541426,22
63.58288775,81.31021195,22
96.2177045,92.67822736,22
134.8022758,94.79768786,22
