"Session","test_contrast","correct_trials","error_trials","standard_contrast","total_trials","performance"
21,"25",32,47,30,79,0.40506329113924
21,"27",45,31,30,76,0.592105263157895
21,"28",45,49,30,94,0.478723404255319
21,"29",62,55,30,117,0.52991452991453
21,"31",47,48,30,95,0.494736842105263
21,"32",49,43,30,92,0.532608695652174
21,"33",35,55,30,90,0.388888888888889
21,"35",31,42,30,73,0.424657534246575
21,"40",34,30,30,64,0.53125
21,"50",31,29,30,60,0.516666666666667
21,"60",32,29,30,61,0.524590163934426
