Animal,D (%w/w),High,Low,nmrIntensity1.4,nmrIntensity2,rIntensity,Response,N,,,,,,,,,,,,,,,,,,,,,,,,
Bat7,15,30,15,0,0,0.666666667,0.8899522,209,,,,,,,,,,,,,,,,,,,,,,,,
Bat7,15,25,10,0,0,0.857142857,0.7428571,35,,,,,,,,,,,,,,,,,,,,,,,,
Bat7,15,20,5,0,0,1.2,0.990228,307,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,15,50,35,0,0,0.352941176,0.9333333,135,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,15,45,30,0,0,0.4,0.6416185,173,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,15,40,25,0,0,0.461538462,0.7927461,193,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,15,35,20,0,0,0.545454545,0.8227848,237,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,15,30,15,0,0,0.666666667,1,196,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,15,25,10,0,0,0.857142857,1,186,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,15,20,5,0,0,1.2,0.9896641,387,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,5,25,20,0,0,0.222222222,0.6637681,345,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,5,20,15,0,0,0.285714286,0.6253687,339,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,5,15,10,0,0,0.4,0.690583,446,,,,,,,,,,,,,,,,,,,,,,,,
Bat8,5,10,5,0,0,0.666666667,0.9539749,717,,,,,,,,,,,,,,,,,,,,,,,,
