Animal,D (%w/w),High,Low,nmrIntensity1.4,nmrIntensity2,rIntensity,Response,N,,,,,,,,,,,,,,,,,,,,,,,,
Bat19,5,35,30,0,0,0.153846154,0.4525862,232,,,,,,,,,,,,,,,,,,,,,,,,
Bat19,5,30,25,0,0,0.181818182,0.6723404,235,,,,,,,,,,,,,,,,,,,,,,,,
Bat19,5,25,20,0,0,0.222222222,0.59447,217,,,,,,,,,,,,,,,,,,,,,,,,
Bat19,5,20,15,0,0,0.285714286,0.3157895,19,,,,,,,,,,,,,,,,,,,,,,,,
Bat19,5,15,10,0,0,0.4,1,94,,,,,,,,,,,,,,,,,,,,,,,,
Bat19,5,10,5,0,0,0.666666667,0.9907407,864,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,15,50,35,0,0,0.352941176,0.5916667,120,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,15,45,30,0,0,0.4,0.4504505,111,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,15,40,25,0,0,0.461538462,0.5223881,201,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,15,35,20,0,0,0.545454545,0.5374449,227,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,15,30,15,0,0,0.666666667,0.972973,111,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,15,25,10,0,0,0.857142857,0.9590909,220,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,15,20,5,0,0,1.2,0.9813084,214,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,5,50,45,0,0,0.105263158,0.5652174,23,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,5,45,40,0,0,0.117647059,0.4883721,43,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,5,35,30,0,0,0.153846154,0.7,70,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,5,30,25,0,0,0.181818182,0.3606557,61,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,5,25,20,0,0,0.222222222,0.6551724,29,,,,,,,,,,,,,,,,,,,,,,,,
Bat20,5,10,5,0,0,0.666666667,0.8181818,33,,,,,,,,,,,,,,,,,,,,,,,,
Bat25,15,50,35,0,0,0.352941176,0.7068966,58,,,,,,,,,,,,,,,,,,,,,,,,
Bat25,15,45,30,0,0,0.4,0.4444444,81,,,,,,,,,,,,,,,,,,,,,,,,
Bat25,15,40,25,0,0,0.461538462,0.4375,64,,,,,,,,,,,,,,,,,,,,,,,,
