interval,percent_correct,cat
18.58014456,54.65252177,30
95.54210467,57.23820409,30
169.9637792,72.42679373,30
243.3809302,80.05151403,30
319.1693363,83.89671437,30
20,55.12820513,31
95.57031731,57.17948718,31
169.9956298,70.25641026,31
245.5659471,82.30769231,31
318.8462548,86.41025641,31
20.54502602,55.28527939,32
93.2789944,54.20210154,32
169.9116174,71.75390356,32
243.4066582,80.88284396,32
318.1439654,87.71285476,32
