"a","b","abs_diff","mean_ab","response","N"
25,10,15,17.5,0.9734513,113
20,5,15,12.5,0.9964912,285
50,45,5,47.5,0.5813953,43
45,40,5,42.5,0.66,50
40,35,5,37.5,0.6065574,61
35,30,5,32.5,0.4375,16
30,25,5,27.5,0.625,120
25,20,5,22.5,0.5905512,127
20,15,5,17.5,0.8684211,76
15,10,5,12.5,0.4219949,391
10,5,5,7.5,0.9571429,70
50,35,15,42.5,0.6711409,149
45,30,15,37.5,0.5244755,143
40,25,15,32.5,0.6648936,188
35,20,15,27.5,0.72,250
30,15,15,22.5,0.9679144,187
25,10,15,17.5,0.96875,192
20,5,15,12.5,0.9396552,348
30,25,5,27.5,0.58,50
25,20,5,22.5,0.6810345,116
20,15,5,17.5,0.568,125
15,10,5,12.5,0.859375,320
10,5,5,7.5,0.75,76
50,35,15,42.5,0.4070796,113
40,25,15,32.5,0.994012,167
35,20,15,27.5,0.8587571,177
30,15,15,22.5,0.9891304,184
20,5,15,12.5,0.9911504,226
50,45,5,47.5,0.5,80
45,40,5,42.5,0.4848485,99
40,35,5,37.5,0.4160584,137
35,30,5,32.5,0.3770492,122
30,25,5,27.5,0.5068493,73
25,20,5,22.5,0.6021505,93
20,15,5,17.5,0.3567568,185
15,10,5,12.5,0.7908497,153
10,5,5,7.5,0.8823529,17
50,35,15,42.5,0.9328358,134
45,30,15,37.5,0.6953642,151
40,25,15,32.5,0.7032258,155
35,20,15,27.5,0.8666667,210
30,15,15,22.5,1,164
25,10,15,17.5,0.984252,127
20,5,15,12.5,0.9627119,295
50,45,5,47.5,0.2777778,18
40,35,5,37.5,0.6056338,71
30,25,5,27.5,0.4732824,131
25,20,5,22.5,0.635468,203
20,15,5,17.5,0.4090909,22
15,10,5,12.5,0.8481675,191
10,5,5,7.5,0.9691358,648
45,30,15,37.5,0.5315315,111
40,25,15,32.5,0.5704225,142
35,20,15,27.5,0.8430233,172
30,15,15,22.5,0.9934211,152
25,10,15,17.5,0.9642857,84
20,5,15,12.5,1,139
50,35,15,42.5,0.5074627,134
45,30,15,37.5,0.5,144
40,25,15,32.5,0.5555556,162
35,20,15,27.5,0.5530973,226
30,15,15,22.5,0.8744589,231
25,10,15,17.5,0.9703704,135
20,5,15,12.5,0.9738562,306
50,45,5,47.5,0.490566,53
40,35,5,37.5,0.744186,43
30,25,5,27.5,0.5,166
25,20,5,22.5,0.5202312,173
20,15,5,17.5,0.4186047,172
15,10,5,12.5,0.8244275,131
50,35,15,42.5,0.8135593,177
45,30,15,37.5,0.472973,148
40,25,15,32.5,0.5045872,218
35,20,15,27.5,1,124
30,15,15,22.5,0.9911111,225
25,10,15,17.5,0.9896907,97
20,5,15,12.5,0.9966216,296
50,35,15,42.5,0.6413793,145
45,30,15,37.5,0.4110429,163
40,25,15,32.5,0.5299539,217
35,20,15,27.5,0.6888889,225
30,15,15,22.5,0.8899522,209
25,10,15,17.5,0.7428571,35
20,5,15,12.5,0.990228,307
50,35,15,42.5,0.9333333,135
45,30,15,37.5,0.6416185,173
40,25,15,32.5,0.7927461,193
35,20,15,27.5,0.8227848,237
30,15,15,22.5,1,196
25,10,15,17.5,1,186
20,5,15,12.5,0.9896641,387
25,20,5,22.5,0.6637681,345
20,15,5,17.5,0.6253687,339
15,10,5,12.5,0.690583,446
10,5,5,7.5,0.9539749,717
