"a","b","abs_diff","mean_ab","response"
1.8,2,0.2,1.9,1
1.8,2.6,0.8,2.2,1
1.8,2.2,0.4,2,0
1.8,2.7,0.9,2.25,1
1.8,2.1,0.3,1.95,0
1.8,2.5,0.7,2.15,1
1.8,2.4,0.6,2.1,1
2.5,3.5,1,3,1
2.5,3.5,1,3,1
2.5,3.5,1,3,1
2.5,3.5,1,3,1
2.5,3.5,1,3,1
2.5,3.5,1,3,1
2.5,3.5,1,3,0
2.5,3.5,1,3,1
2.5,3.5,1,3,1
2.5,3.5,1,3,1
2.5,3.5,1,3,1
2.5,3.1,0.6,2.8,1
2.5,2.7,0.2,2.6,1
2.5,3.3,0.8,2.9,1
2.5,2.6,0.1,2.55,1
2.5,2.9,0.4,2.7,1
2.5,3.4,0.9,2.95,1
2.5,3,0.5,2.75,1
2.5,3.2,0.7,2.85,1
2.5,2.8,0.3,2.65,1
2.5,3.3,0.8,2.9,0
2.5,3.3,0.8,2.9,1
2.5,3.1,0.6,2.8,1
2.5,2.7,0.2,2.6,1
2.5,3.4,0.9,2.95,1
2.5,2.6,0.1,2.55,1
2.5,3.2,0.7,2.85,1
2.5,2.9,0.4,2.7,1
2.5,2.8,0.3,2.65,0
2.5,3,0.5,2.75,1
2.5,2.6,0.1,2.55,0
2.5,3.1,0.6,2.8,1
2.5,2.7,0.2,2.6,0
2.5,3,0.5,2.75,1
2.5,3.4,0.9,2.95,1
2.5,2.8,0.3,2.65,1
2.5,3.2,0.7,2.85,1
2.5,2.9,0.4,2.7,1
2.5,3.3,0.8,2.9,1
2.5,3,0.5,2.75,1
2.5,3.2,0.7,2.85,0
2.5,2.8,0.3,2.65,1
2.5,2.6,0.1,2.55,1
2.5,3.4,0.9,2.95,1
2.5,2.9,0.4,2.7,1
2.5,3.1,0.6,2.8,1
2.5,2.7,0.2,2.6,0
2.5,3.3,0.8,2.9,1
2.5,2.9,0.4,2.7,1
2.5,2.6,0.1,2.55,0
2.5,3.2,0.7,2.85,1
2.5,2.8,0.3,2.65,1
2.5,3.4,0.9,2.95,1
2.5,3.1,0.6,2.8,1
2.5,2.7,0.2,2.6,0
2.5,2.7,0.2,2.6,1
2.5,3,0.5,2.75,1
2.5,3.3,0.8,2.9,0
2.5,3,0.5,2.75,1
2.5,2.6,0.1,2.55,1
2.5,3.2,0.7,2.85,1
2.5,2.9,0.4,2.7,1
2.5,3.1,0.6,2.8,1
2.5,2.8,0.3,2.65,1
2.5,3.4,0.9,2.95,1
2.5,3,0.5,2.75,1
2.5,2.7,0.2,2.6,1
2.5,3.3,0.8,2.9,1
2.5,2.9,0.4,2.7,1
2.5,3.4,0.9,2.95,0
2.5,2.8,0.3,2.65,1
2.5,3.2,0.7,2.85,1
2.5,2.6,0.1,2.55,1
2.5,3.1,0.6,2.8,1
2.5,2.9,0.4,2.7,1
2.5,3.2,0.7,2.85,1
2.5,2.7,0.2,2.6,1
2.5,3.4,0.9,2.95,1
2.5,3.3,0.8,2.9,1
2.5,3,0.5,2.75,0
2.5,2.6,0.1,2.55,0
2.5,3.1,0.6,2.8,1
2.5,2.8,0.3,2.65,1
2.5,3.2,0.7,2.85,1
2.5,2.8,0.3,2.65,1
2.5,3,0.5,2.75,1
2.5,3.4,0.9,2.95,1
2.5,2.6,0.1,2.55,1
2.5,3.3,0.8,2.9,1
2.5,2.9,0.4,2.7,1
2.5,2.7,0.2,2.6,1
2.5,3.1,0.6,2.8,1
2.5,2.8,0.3,2.65,1
2.5,3.3,0.8,2.9,1
2.5,3.1,0.6,2.8,1
2.5,2.6,0.1,2.55,1
2.5,3,0.5,2.75,1
2.5,3.4,0.9,2.95,1
2.5,2.9,0.4,2.7,1
2.5,3.2,0.7,2.85,1
2.5,2.7,0.2,2.6,0
2.5,3.3,0.8,2.9,1
2.5,2.9,0.4,2.7,1
2.5,2.7,0.2,2.6,1
2.5,3.2,0.7,2.85,1
2.5,2.6,0.1,2.55,1
2.5,3,0.5,2.75,1
2.5,3.4,0.9,2.95,1
2.5,2.8,0.3,2.65,1
2.5,3.1,0.6,2.8,1
2.5,2.9,0.4,2.7,1
2.5,3.3,0.8,2.9,1
2.5,2.7,0.2,2.6,1
2.5,3.1,0.6,2.8,1
2.5,3.5,1,3,1
2.5,2.8,0.3,2.65,1
2.5,2.6,0.1,2.55,1
2.5,3.2,0.7,2.85,1
2.5,3.4,0.9,2.95,0
2.5,3,0.5,2.75,1
2.5,3.4,0.9,2.95,1
2.5,3.1,0.6,2.8,1
2.5,2.9,0.4,2.7,1
2.5,2.7,0.2,2.6,0
2.5,3.5,1,3,1
2.5,3,0.5,2.75,0
2.5,2.8,0.3,2.65,1
2.5,3.3,0.8,2.9,1
2.5,2.6,0.1,2.55,0
2.5,3.2,0.7,2.85,1
2.5,2.9,0.4,2.7,0
2.5,3.4,0.9,2.95,1
2.5,2.7,0.2,2.6,1
2.5,3.2,0.7,2.85,1
2.5,3.5,1,3,1
2.5,3,0.5,2.75,1
2.5,3.3,0.8,2.9,1
2.5,2.8,0.3,2.65,0
2.5,3.1,0.6,2.8,1
2.5,2.6,0.1,2.55,1
2.5,3.3,0.8,2.9,1
2.5,2.9,0.4,2.7,1
2.5,2.6,0.1,2.55,0
2.5,3.5,1,3,1
2.5,3.1,0.6,2.8,1
2.5,2.7,0.2,2.6,1
2.5,3.2,0.7,2.85,1
2.5,3.4,0.9,2.95,1
2.5,2.8,0.3,2.65,1
2.5,3,0.5,2.75,1
2.5,3.4,0.9,2.95,1
2.5,3,0.5,2.75,1
2.5,2.7,0.2,2.6,1
2.5,3.5,1,3,1
2.5,2.9,0.4,2.7,1
2.5,3.2,0.7,2.85,1
2.5,2.6,0.1,2.55,0
2.5,3.3,0.8,2.9,1
2.5,2.8,0.3,2.65,1
2.5,3.1,0.6,2.8,1
2.5,3.4,0.9,2.95,1
2.5,2.9,0.4,2.7,1
2.5,2.6,0.1,2.55,0
2.5,3.2,0.7,2.85,0
2.5,2.8,0.3,2.65,0
2.5,3.5,1,3,1
2.5,3.1,0.6,2.8,1
2.5,2.7,0.2,2.6,0
2.5,3.3,0.8,2.9,1
2.5,3,0.5,2.75,1
2.5,3.2,0.7,2.85,1
2.5,2.9,0.4,2.7,1
2.5,3.5,1,3,1
2.5,2.7,0.2,2.6,1
2.5,3.4,0.9,2.95,1
2.5,3,0.5,2.75,1
2.5,3.3,0.8,2.9,1
2.5,2.8,0.3,2.65,1
2.5,3.1,0.6,2.8,1
2.5,2.6,0.1,2.55,0
2.5,3.4,0.9,2.95,1
2.5,3.1,0.6,2.8,1
2.5,2.8,0.3,2.65,1
2.5,3.5,1,3,1
2.5,2.6,0.1,2.55,0
2.5,2.9,0.4,2.7,0
2.5,3.3,0.8,2.9,1
2.5,2.7,0.2,2.6,1
2.5,3.2,0.7,2.85,1
2.5,3,0.5,2.75,1
2.5,3.4,0.9,2.95,1
2.5,2.9,0.4,2.7,1
2.5,3.2,0.7,2.85,1
2.5,2.7,0.2,2.6,1
2.5,3.5,1,3,1
2.5,2.8,0.3,2.65,0
2.5,3.3,0.8,2.9,1
2.5,2.6,0.1,2.55,1
2.5,3.1,0.6,2.8,1
2.5,3,0.5,2.75,1
2.5,3.3,0.8,2.9,1
2.5,2.9,0.4,2.7,1
2.5,2.6,0.1,2.55,1
2.5,3.1,0.6,2.8,1
2.5,3.4,0.9,2.95,1
2.5,2.8,0.3,2.65,1
2.5,3.2,0.7,2.85,1
2.5,2.7,0.2,2.6,1
2.5,3,0.5,2.75,1
2.5,3.5,1,3,1
2.5,3,0.5,2.75,1
2.5,3.5,1,3,1
2.5,3.3,0.8,2.9,1
2.5,2.8,0.3,2.65,1
2.5,2.6,0.1,2.55,1
2.5,3.2,0.7,2.85,1
2.5,2.9,0.4,2.7,1
2.5,3.1,0.6,2.8,1
2.5,3.4,0.9,2.95,1
2.5,3.3,0.8,2.9,1
2.5,2.7,0.2,2.6,0
2.5,3.5,1,3,1
2.5,2.8,0.3,2.65,0
2.5,3.1,0.6,2.8,1
2.5,2.6,0.1,2.55,0
2.5,3.2,0.7,2.85,1
2.5,3.4,0.9,2.95,1
2.5,3,0.5,2.75,1
2.5,2.7,0.2,2.6,1
2.5,2.9,0.4,2.7,1
2.5,3.2,0.7,2.85,1
2.5,2.8,0.3,2.65,1
2.5,3.5,1,3,1
2.5,3,0.5,2.75,1
2.5,3.4,0.9,2.95,0
2.5,2.6,0.1,2.55,0
2.5,3.3,0.8,2.9,1
2.5,2.9,0.4,2.7,1
2.5,3.1,0.6,2.8,1
2.5,2.7,0.2,2.6,1
2.5,3.3,0.8,2.9,1
2.5,3,0.5,2.75,1
2.5,2.8,0.3,2.65,1
2.5,3.5,1,3,1
2.5,2.9,0.4,2.7,1
2.5,2.6,0.1,2.55,0
2.5,3.2,0.7,2.85,1
2.5,2.7,0.2,2.6,1
2.5,3.4,0.9,2.95,1
2.5,3.1,0.6,2.8,1
2.5,2.8,0.3,2.65,1
2.5,3.3,0.8,2.9,1
2.5,3,0.5,2.75,0
2.5,3.5,1,3,1
2.5,3.2,0.7,2.85,1
2.5,2.6,0.1,2.55,1
2.5,3.1,0.6,2.8,0
2.5,2.7,0.2,2.6,0
2.5,3.4,0.9,2.95,1
2.5,2.9,0.4,2.7,1
2.5,3.4,0.9,2.95,1
2.5,3.5,1,3,1
2.5,3.2,0.7,2.85,1
2.5,2.9,0.4,2.7,0
2.5,2.6,0.1,2.55,1
2.5,3,0.5,2.75,1
2.5,3.3,0.8,2.9,1
2.5,2.7,0.2,2.6,0
2.5,3.1,0.6,2.8,1
2.5,2.8,0.3,2.65,0
2.5,3.3,0.8,2.9,1
2.5,2.8,0.3,2.65,1
2.5,3,0.5,2.75,1
2.5,3.5,1,3,1
2.5,2.6,0.1,2.55,1
2.5,2.9,0.4,2.7,1
2.5,3.4,0.9,2.95,0
2.5,2.7,0.2,2.6,1
2.5,3.2,0.7,2.85,1
2.5,3.1,0.6,2.8,0
2.5,3.5,1,3,1
2.5,3,0.5,2.75,1
2.5,3.4,0.9,2.95,1
2.5,2.8,0.3,2.65,1
2.5,3.2,0.7,2.85,1
2.5,2.9,0.4,2.7,1
2.5,3.3,0.8,2.9,1
2.5,2.6,0.1,2.55,0
2.5,3.1,0.6,2.8,1
2.5,2.7,0.2,2.6,1
2.5,3.3,0.8,2.9,0
2.5,3,0.5,2.75,0
2.5,3.5,1,3,1
2.5,2.8,0.3,2.65,1
2.5,3.1,0.6,2.8,1
2.5,2.6,0.1,2.55,1
2.5,2.9,0.4,2.7,1
2.5,3.2,0.7,2.85,1
2.5,2.7,0.2,2.6,0
2.5,3.4,0.9,2.95,1
2.8,3.5,0.7,3.15,1
2.8,3.5,0.7,3.15,1
2.8,3.5,0.7,3.15,1
2.8,3.5,0.7,3.15,1
2.8,3.4,0.6,3.1,1
2.8,3.1,0.3,2.95,1
2.8,2.9,0.1,2.85,0
2.8,3.3,0.5,3.05,1
2.8,3,0.2,2.9,1
2.8,3.2,0.4,3,1
2.8,3.4,0.6,3.1,0
2.8,3.1,0.3,2.95,0
2.8,2.9,0.1,2.85,1
2.8,3.2,0.4,3,1
2.8,3.3,0.5,3.05,1
2.8,3,0.2,2.9,1
2.8,3.3,0.5,3.05,1
2.8,3.1,0.3,2.95,0
2.8,2.9,0.1,2.85,1
2.8,3.2,0.4,3,1
2.8,3.4,0.6,3.1,1
2.8,3,0.2,2.9,1
2.8,3.3,0.5,3.05,1
2.8,3,0.2,2.9,1
2.8,3.4,0.6,3.1,0
2.8,3.2,0.4,3,0
2.8,2.9,0.1,2.85,0
2.8,3.1,0.3,2.95,1
2.8,3.4,0.6,3.1,1
2.8,3.1,0.3,2.95,1
2.8,2.9,0.1,2.85,1
2.8,3.5,0.7,3.15,1
2.8,3.2,0.4,3,1
2.8,3,0.2,2.9,0
2.8,3.3,0.5,3.05,1
2.8,3.1,0.3,2.95,0
2.8,3.5,0.7,3.15,0
2.8,2.9,0.1,2.85,1
2.8,3.4,0.6,3.1,1
2.8,3,0.2,2.9,1
2.8,3.3,0.5,3.05,1
2.8,3.2,0.4,3,1
2.8,3.1,0.3,2.95,1
2.8,3.4,0.6,3.1,1
2.8,3.5,0.7,3.15,1
2.8,3.2,0.4,3,1
2.8,2.9,0.1,2.85,0
2.8,3.3,0.5,3.05,1
2.8,3,0.2,2.9,1
2.8,3.4,0.6,3.1,1
2.8,3.1,0.3,2.95,0
2.8,2.9,0.1,2.85,1
2.8,3.5,0.7,3.15,1
2.8,3,0.2,2.9,1
2.8,3.3,0.5,3.05,1
2.8,3.2,0.4,3,1
2.8,3,0.2,2.9,1
2.8,3.4,0.6,3.1,0
2.8,3.2,0.4,3,1
