"a","b","abs_diff","mean_ab","response","N"
1,3,2,2,0.08045977011,12
2,3,1,2.5,0.3189655172,12
3,3,0,3,0.5201149425,12
4,3,1,3.5,0.7413793103,12
5,3,2,4,0.8505747126,12
