"a","b","abs_diff","mean_ab","response","N"
10,18,8,14,0.91,620
14,22,8,18,0.93,620
18,26,8,22,0.95,620
22,30,8,26,0.97,620
26,34,8,30,0.96,620
18,10,8,14,0.97,620
22,14,8,18,0.97,620
26,18,8,22,0.97,620
30,22,8,26,0.95,620
34,26,8,30,0.89,620
10,18,8,14,0.88,620
14,22,8,18,0.89,620
18,26,8,22,0.91,620
22,30,8,26,0.87,620
26,34,8,30,0.86,620
30,38,8,34,0.93,620
34,44,10,39,0.95,620
10,6,4,8,0.87,620
14,8,6,11,0.92,620
18,10,8,14,0.9,620
22,14,8,18,0.86,620
26,18,8,22,0.88,620
30,22,8,26,0.84,620
34,26,8,30,0.84,620
12,20,8,16,0.94,620
14,20,6,17,0.86,620
16,20,4,18,0.82,620
18,20,2,19,0.64,620
22,20,2,21,0.56,620
24,20,4,22,0.77,620
26,20,6,23,0.91,620
28,20,8,24,0.98,620
20,12,8,16,0.95,620
20,14,6,17,0.87,620
20,16,4,18,0.73,620
20,18,2,19,0.65,620
20,22,2,21,0.61,620
20,24,4,22,0.73,620
20,26,6,23,0.84,620
20,28,8,24,0.94,620
