"a","b","abs_diff","mean_ab","response"
6,24,18,15,0.721558559
6,18,12,12,0.626591958
6,12,6,9,0.630253558
6,9,3,7.5,0.55676924
6,8,2,7,0.537972002
6,24,18,15,0.699097794
6,18,12,12,0.70862065
6,12,6,9,0.630255484
6,9,3,7.5,0.575321859
6,8,2,7,0.556526546
1,4,3,2.5,0.675490196
1,3,2,2,0.628431373
1,2,1,1.5,0.655882353
2,3,1,2.5,0.644117647
3,4,1,3.5,0.632352941
1,4,3,2.5,0.621568627
1,3,2,2,0.643137255
1,2,1,1.5,0.626470588
2,3,1,2.5,0.654901961
3,4,1,3.5,0.632352941
