"ID","Recording","Temp","Call","Call_Duration","Call_Interval","Call_Period","Pulse1_Duration","Pulse1_Rise","Pulse1_Fall","Pulse1_Interval","Pulse1_Period","Pulse2_Duration","Pulse2_Rise","Pulse2_Fall","Pulse2_Interval","Pulse2_Period","Pulse3_Duration","Pulse3_Rise","Pulse3_Fall","Pulse3_Interval","Pulse3_Period","Pulse4_Duration","Pulse4_Rise","Pulse4_Fall","Pulse4_Interval","Pulse4_Period","Pulse5_Duration","Pulse5_Rise","Pulse5_Fall","Pulse5_Interval","Pulse5_Period","Pulse6_Duration","Pulse6_Rise","Pulse6_Fall","Num_Pulses","Pulse1_Max_Freq","Pulse2_Max_Freq","Pulse3_Max_Freq","Pulse4_Max_Freq","Pulse5_Max_Freq","Pulse6_Max_Freq"
"B44-6","C176",23.2,13,0.3,2.891,3.191,0.032,0.025,0.007,0.061,0.093,0.031,0.017,0.014,0.056,0.087,0.031,0.015,0.016,0.059,0.09,0.03,0.015,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5168,5211,5211,5211,NA,NA
"B44-6","C176",23.2,14,0.303,3.192,3.495,0.031,0.017,0.014,0.06,0.091,0.032,0.013,0.019,0.058,0.09,0.032,0.012,0.02,0.06,0.092,0.031,0.012,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5211,5254,5254,5254,NA,NA
"B44-6","C176",23.2,15,0.301,3.538,3.839,0.032,0.013,0.019,0.061,0.093,0.03,0.009,0.021,0.057,0.087,0.033,0.01,0.023,0.058,0.091,0.031,0.01,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5254,5297,5297,5297,NA,NA
"B44-6","C176",23.2,16,0.302,3.6,3.902,0.031,0.019,0.012,0.06,0.091,0.033,0.019,0.014,0.056,0.089,0.034,0.027,0.007,0.059,0.093,0.029,0.024,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4995,5124,5124,5168,NA,NA
"B44-6","C176",23.2,17,0.209,3.002,3.211,0.032,0.02,0.012,0.058,0.09,0.031,0.017,0.014,0.056,0.087,0.031,0.015,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5168,5211,5211,NA,NA,NA
"B44-6","C176",23.2,18,0.302,3.08900000000001,3.39100000000001,0.031,0.019,0.012,0.061,0.092,0.032,0.014,0.018,0.056,0.088,0.032,0.012,0.02,0.058,0.09,0.031,0.011,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5211,5211,5254,5254,NA,NA
"B44-6","C176",23.2,19,0.312,3.73999999999999,4.05199999999999,0.032,0.017,0.015,0.063,0.095,0.033,0.011,0.022,0.058,0.091,0.033,0.011,0.022,0.061,0.094,0.032,0.011,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5211,5254,5254,5297,NA,NA
"B44-6","C176",23.2,20,0.301,3.21000000000001,3.51100000000001,0.03,0.017,0.013,0.061,0.091,0.032,0.021,0.011,0.057,0.089,0.035,0.02,0.015,0.054,0.089,0.032,0.027,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4995,5081,5081,5124,NA,NA
"B54-5","C212",24.2,1,0.346,1.403,1.749,0.032,0.015,0.017,0.04,0.072,0.032,0.024,0.008,0.047,0.079,0.034,0.024,0.01,0.046,0.08,0.033,0.02,0.013,0.05,0.083,0.031,0.02,0.011,NA,NA,NA,NA,NA,5,5081,5168,5168,5211,5211,NA
"B54-5","C212",24.2,2,0.269,1.511,1.78,0.034,0.012,0.022,0.042,0.076,0.033,0.022,0.011,0.046,0.079,0.034,0.021,0.013,0.049,0.083,0.031,0.019,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5168,5168,5168,5168,NA,NA
"B54-5","C212",24.2,3,0.272,1.71799999999999,1.98999999999999,0.032,0.012,0.02,0.044,0.076,0.033,0.026,0.007,0.049,0.082,0.034,0.023,0.011,0.047,0.081,0.032,0.02,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5168,5211,5211,NA,NA
"B54-5","C212",24.2,4,0.272,1.566,1.838,0.032,0.03,0.002,0.046,0.078,0.032,0.022,0.01,0.049,0.081,0.033,0.019,0.014,0.049,0.082,0.032,0.015,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5211,5211,5211,NA,NA
"B54-5","C212",24.2,5,0.268,1.47,1.738,0.031,0.023,0.008,0.047,0.078,0.033,0.02,0.013,0.045,0.078,0.032,0.013,0.019,0.048,0.08,0.031,0.009,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5211,5211,5211,NA,NA
"B54-5","C212",24.2,6,0.271,1.48900000000001,1.76000000000001,0.032,0.022,0.01,0.046,0.078,0.033,0.018,0.015,0.047,0.08,0.034,0.016,0.018,0.048,0.082,0.032,0.01,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5211,5211,5211,NA,NA
"B54-5","C212",24.2,7,0.273,1.761,2.034,0.032,0.029,0.003,0.046,0.078,0.034,0.02,0.014,0.047,0.081,0.033,0.014,0.019,0.051,0.084,0.029,0.014,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5211,5211,5211,NA,NA
"B54-5","C212",24.2,8,0.271,2.148,2.419,0.033,0.024,0.009,0.043,0.076,0.033,0.018,0.015,0.048,0.081,0.034,0.016,0.018,0.049,0.083,0.032,0.013,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5211,5211,5211,NA,NA
"B54-5","C212",24.2,9,0.192,1.509,1.701,0.034,0.025,0.009,0.041,0.075,0.033,0.017,0.016,0.048,0.081,0.036,0.017,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5124,5211,5211,NA,NA,NA
"B54-5","C212",24.2,10,0.278,1.317,1.595,0.033,0.026,0.007,0.044,0.077,0.034,0.017,0.017,0.048,0.082,0.033,0.016,0.017,0.05,0.083,0.035,0.014,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5211,5211,5211,NA,NA
"B54-5","C212",24.2,11,0.277,1.424,1.701,0.031,0.024,0.007,0.045,0.076,0.034,0.016,0.018,0.049,0.083,0.034,0.018,0.016,0.05,0.084,0.034,0.014,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5211,5211,5211,NA,NA
"B54-5","C212",24.2,12,0.279,1.774,2.053,0.033,0.024,0.009,0.046,0.079,0.034,0.02,0.014,0.052,0.086,0.035,0.02,0.015,0.048,0.083,0.032,0.013,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5211,5211,5211,NA,NA
"B54-5","C212",24.2,13,0.276,1.607,1.883,0.033,0.027,0.006,0.044,0.077,0.034,0.02,0.014,0.047,0.081,0.034,0.017,0.017,0.05,0.084,0.033,0.018,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5211,5211,5211,NA,NA
"B54-5","C212",24.2,14,0.196,1.372,1.568,0.032,0.025,0.007,0.047,0.079,0.034,0.023,0.011,0.049,0.083,0.035,0.019,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5124,5168,5211,NA,NA,NA
"B54-5","C212",24.2,15,0.277,1.627,1.904,0.033,0.027,0.006,0.044,0.077,0.034,0.014,0.02,0.046,0.08,0.035,0.009,0.026,0.049,0.084,0.035,0.009,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5168,5211,5254,5254,NA,NA
"B54-5","C212",24.2,16,0.276,1.576,1.852,0.035,0.025,0.01,0.045,0.08,0.034,0.013,0.021,0.049,0.083,0.036,0.01,0.026,0.046,0.082,0.032,0.009,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5211,5211,5254,5254,NA,NA
"B54-5","C212",24.2,17,0.278,1.55200000000001,1.83000000000001,0.034,0.026,0.008,0.044,0.078,0.034,0.01,0.024,0.049,0.083,0.034,0.012,0.022,0.051,0.085,0.034,0.01,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5168,5211,5254,5254,NA,NA
"B54-5","C212",24.2,18,0.278,1.501,1.779,0.034,0.031,0.003,0.044,0.078,0.035,0.015,0.02,0.048,0.083,0.035,0.015,0.02,0.049,0.084,0.034,0.012,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5168,5211,5211,5254,NA,NA
"B54-5","C212",24.2,19,0.28,1.657,1.937,0.033,0.028,0.005,0.044,0.077,0.035,0.016,0.019,0.05,0.085,0.035,0.015,0.02,0.05,0.085,0.033,0.009,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5168,5211,5254,5211,NA,NA
"B54-5","C212",24.2,20,0.278,1.72599999999999,2.00399999999999,0.036,0.03,0.006,0.042,0.078,0.036,0.017,0.019,0.048,0.084,0.035,0.017,0.018,0.047,0.082,0.035,0.014,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5168,5211,5211,5211,NA,NA
"Trans3","C214",23.6,1,0.234,2.569,2.803,0.038,0.014,0.024,0.06,0.098,0.037,0.011,0.026,0.061,0.098,0.038,0.011,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5254,5211,NA,NA,NA
"Trans3","C214",23.6,2,0.245,2.753,2.998,0.038,0.014,0.024,0.065,0.103,0.038,0.011,0.027,0.065,0.103,0.038,0.01,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5254,5254,NA,NA,NA
"Trans3","C214",23.6,3,0.237,2.518,2.755,0.039,0.01,0.029,0.06,0.099,0.037,0.002,0.035,0.065,0.102,0.037,0.002,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5297,5254,NA,NA,NA
"Trans3","C214",23.6,4,0.228,2.31,2.538,0.038,0.024,0.014,0.056,0.094,0.036,0.022,0.014,0.061,0.097,0.037,0.023,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5297,5340,5297,NA,NA,NA
"Trans3","C214",23.6,5,0.234,2.589,2.823,0.038,0.005,0.033,0.06,0.098,0.037,0.014,0.023,0.063,0.1,0.036,0.015,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5211,5211,5211,NA,NA,NA
"Trans3","C214",23.6,6,0.238,2.619,2.857,0.039,0.012,0.027,0.064,0.103,0.038,0.009,0.029,0.06,0.098,0.038,0.008,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5254,5254,NA,NA,NA
"Trans3","C214",23.6,7,0.229,2.328,2.557,0.039,0.009,0.03,0.056,0.095,0.037,0.002,0.035,0.059,0.096,0.037,0.002,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5297,5297,5297,NA,NA,NA
"Trans3","C214",23.6,8,0.235,2.264,2.499,0.039,0.01,0.029,0.059,0.098,0.037,0.002,0.035,0.062,0.099,0.039,0.002,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5297,5297,5297,NA,NA,NA
"Trans3","C214",23.6,9,0.228,2.385,2.613,0.038,0.024,0.014,0.058,0.096,0.038,0.022,0.016,0.058,0.096,0.036,0.021,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5297,5240,5240,NA,NA,NA
"Trans3","C214",23.6,10,0.233,2.32,2.553,0.039,0.017,0.022,0.056,0.095,0.037,0.009,0.028,0.063,0.1,0.038,0.002,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5254,5254,NA,NA,NA
"Trans3","C214",23.6,11,0.236,2.515,2.751,0.039,0.01,0.029,0.059,0.098,0.038,0.002,0.036,0.064,0.102,0.037,0.002,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5297,5297,5297,NA,NA,NA
"Trans3","C214",23.6,12,0.23,2.24000000000001,2.47000000000001,0.039,0.023,0.016,0.057,0.096,0.037,0.022,0.015,0.06,0.097,0.037,0.021,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5297,5340,5340,NA,NA,NA
"Trans3","C214",23.6,13,0.232,2.16399999999999,2.39599999999999,0.04,0.024,0.016,0.054,0.094,0.037,0.022,0.015,0.063,0.1,0.037,0.022,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5340,5340,5340,NA,NA,NA
"Trans3","C214",23.6,14,0.233,2.337,2.57,0.038,0.023,0.015,0.057,0.095,0.037,0.022,0.015,0.064,0.101,0.037,0.022,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5340,5340,5340,NA,NA,NA
"Trans3","C214",23.6,15,0.234,2.263,2.497,0.039,0.005,0.034,0.06,0.099,0.038,0.014,0.024,0.06,0.098,0.037,0.002,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5211,5254,5254,NA,NA,NA
"Trans3","C214",23.6,16,0.231,2.33,2.561,0.041,0.012,0.029,0.057,0.098,0.039,0.002,0.037,0.057,0.096,0.038,0.002,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5297,5297,NA,NA,NA
"Trans3","C214",23.6,17,0.233,2.41100000000001,2.64400000000001,0.039,0.025,0.014,0.057,0.096,0.037,0.023,0.014,0.063,0.1,0.038,0.021,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5340,5340,5340,NA,NA,NA
"Trans3","C214",23.6,18,0.237,2.397,2.634,0.039,0.024,0.015,0.059,0.098,0.037,0.022,0.015,0.063,0.1,0.038,0.022,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5340,5340,5340,NA,NA,NA
"Trans3","C214",23.6,19,0.233,2.356,2.589,0.038,0.024,0.014,0.059,0.097,0.037,0.023,0.014,0.062,0.099,0.037,0.022,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5340,5340,5340,NA,NA,NA
"Trans3","C214",23.6,20,0.231,2.508,2.739,0.04,0.006,0.034,0.056,0.096,0.039,0.004,0.035,0.06,0.099,0.037,0.003,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5124,5168,5168,NA,NA,NA
"W61","C218",22.8,1,0.244,2.791,3.035,0.04,0.033,0.007,0.065,0.105,0.037,0.02,0.017,0.064,0.101,0.039,0.014,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5211,5254,5254,NA,NA,NA
"W61","C218",22.8,2,0.241,2.597,2.838,0.038,0.035,0.003,0.067,0.105,0.038,0.016,0.022,0.06,0.098,0.038,0.011,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5211,5254,5297,NA,NA,NA
"W61","C218",22.8,3,0.239,2.458,2.697,0.038,0.025,0.013,0.066,0.104,0.038,0.012,0.026,0.061,0.099,0.036,0.008,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5254,5297,NA,NA,NA
"W61","C218",22.8,4,0.239,2.299,2.538,0.039,0.022,0.017,0.062,0.101,0.039,0.011,0.028,0.061,0.1,0.039,0.008,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5297,5297,NA,NA,NA
"W61","C218",22.8,5,0.242,2.516,2.758,0.041,0.031,0.01,0.064,0.105,0.039,0.026,0.013,0.061,0.1,0.037,0.03,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5038,5168,5211,NA,NA,NA
"W61","C218",22.8,6,0.237,2.951,3.188,0.042,0.03,0.012,0.06,0.102,0.04,0.029,0.011,0.059,0.099,0.037,0.025,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4823,4952,5038,NA,NA,NA
"W61","C218",22.8,7,0.241,2.34,2.581,0.039,0.03,0.009,0.067,0.106,0.038,0.009,0.029,0.062,0.1,0.035,0.007,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5038,5124,5081,NA,NA,NA
"W61","C218",22.8,8,0.237,2.647,2.884,0.039,0.031,0.008,0.064,0.103,0.039,0.03,0.009,0.059,0.098,0.037,0.022,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5124,5211,5254,NA,NA,NA
"W61","C218",22.8,9,0.335,2.121,2.456,0.041,0.036,0.005,0.055,0.096,0.042,0.01,0.032,0.055,0.097,0.04,0.007,0.033,0.063,0.103,0.039,0.008,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5211,5297,5240,5340,NA,NA
"W61","C218",22.8,10,0.237,2.699,2.936,0.043,0.033,0.01,0.058,0.101,0.038,0.027,0.011,0.06,0.098,0.037,0.018,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4823,4952,4995,NA,NA,NA
"W61","C218",22.8,11,0.236,3.318,3.554,0.039,0.029,0.01,0.063,0.102,0.036,0.017,0.019,0.063,0.099,0.036,0.009,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5038,5081,5081,NA,NA,NA
"W61","C218",22.8,12,0.24,2.074,2.314,0.039,0.018,0.021,0.066,0.105,0.038,0.023,0.015,0.059,0.097,0.038,0.028,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5081,5168,5211,NA,NA,NA
"W61","C218",22.8,13,0.242,2.215,2.457,0.041,0.034,0.007,0.061,0.102,0.039,0.021,0.018,0.063,0.102,0.038,0.014,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5168,5254,5254,NA,NA,NA
"W61","C218",22.8,14,0.236,2.303,2.539,0.04,0.023,0.017,0.06,0.1,0.038,0.01,0.028,0.061,0.099,0.037,0.008,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5297,5297,NA,NA,NA
"W61","C218",22.8,15,0.239,2.073,2.312,0.042,0.018,0.024,0.06,0.102,0.037,0.008,0.029,0.062,0.099,0.038,0.008,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5297,5340,NA,NA,NA
"W61","C218",22.8,16,0.239,3.721,3.96,0.04,0.033,0.007,0.061,0.101,0.037,0.03,0.007,0.063,0.1,0.037,0.025,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4823,4952,4952,NA,NA,NA
"W61","C218",22.8,17,0.24,3.744,3.984,0.04,0.035,0.005,0.064,0.104,0.037,0.016,0.021,0.062,0.099,0.037,0.007,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4995,5081,5081,NA,NA,NA
"W61","C218",22.8,18,0.243,3.036,3.279,0.041,0.034,0.007,0.064,0.105,0.039,0.03,0.009,0.059,0.098,0.04,0.022,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5124,5211,5254,NA,NA,NA
"W61","C218",22.8,19,0.243,2.853,3.096,0.041,0.035,0.006,0.064,0.105,0.038,0.012,0.026,0.061,0.099,0.039,0.009,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5211,5254,5297,NA,NA,NA
"W61","C218",22.8,20,0.242,2.389,2.631,0.041,0.017,0.024,0.063,0.104,0.038,0.009,0.029,0.062,0.1,0.038,0.007,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5254,5297,5340,NA,NA,NA
"BV67","E060",24.2,1,0.116,1.377,1.493,0.032,0.017,0.015,0.054,0.086,0.031,0.013,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5297,5469,NA,NA,NA,NA
"BV67","E060",24.2,2,0.118,1.274,1.392,0.035,0.012,0.023,0.051,0.086,0.031,0.02,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5426,5512,NA,NA,NA,NA
"BV67","E060",24.2,3,0.115,1.844,1.959,0.033,0.018,0.015,0.05,0.083,0.031,0.017,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5426,5512,NA,NA,NA,NA
"BV67","E060",24.2,4,0.113,1.57,1.683,0.034,0.023,0.011,0.049,0.083,0.03,0.016,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5297,5426,NA,NA,NA,NA
"BV67","E060",24.2,5,0.118,1.474,1.592,0.032,0.012,0.02,0.053,0.085,0.032,0.024,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5340,5469,NA,NA,NA,NA
"BV67","E060",24.2,6,0.115,2.213,2.328,0.034,0.017,0.017,0.05,0.084,0.031,0.016,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5426,5555,NA,NA,NA,NA
"BV67","E060",24.2,7,0.12,1.586,1.706,0.032,0.023,0.009,0.054,0.086,0.033,0.017,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5297,5426,NA,NA,NA,NA
"BV67","E060",24.2,8,0.117,1.402,1.519,0.032,0.012,0.02,0.054,0.086,0.032,0.024,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5340,5512,NA,NA,NA,NA
"BV67","E060",24.2,9,0.201,1.574,1.775,0.033,0.016,0.017,0.054,0.087,0.033,0.017,0.016,0.051,0.084,0.029,0.014,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5426,5555,5555,NA,NA,NA
"BV67","E060",24.2,10,0.202,1.602,1.804,0.035,0.016,0.019,0.054,0.089,0.034,0.015,0.019,0.047,0.081,0.031,0.019,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5297,5469,5512,NA,NA,NA
"BV67","E060",24.2,11,0.111,2.298,2.409,0.035,0.033,0.002,0.044,0.079,0.032,0.009,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5297,5426,NA,NA,NA,NA
"BV67","E060",24.2,12,0.12,1.4,1.52,0.035,0.016,0.019,0.052,0.087,0.033,0.025,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5340,5469,NA,NA,NA,NA
"BV67","E060",24.2,13,0.118,2.13,2.248,0.033,0.016,0.017,0.053,0.086,0.033,0.017,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5426,5512,NA,NA,NA,NA
"BV67","E060",24.2,14,0.201,1.945,2.146,0.034,0.019,0.015,0.049,0.083,0.033,0.029,0.004,0.055,0.088,0.03,0.024,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5297,5469,5469,NA,NA,NA
"BV67","E060",24.2,15,0.195,1.82,2.015,0.034,0.032,0.002,0.051,0.085,0.032,0.012,0.02,0.047,0.079,0.03,0.016,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5081,5383,5426,NA,NA,NA
"BV67","E060",24.2,16,0.118,1.595,1.713,0.034,0.014,0.02,0.052,0.086,0.032,0.024,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5340,5469,NA,NA,NA,NA
"BV67","E060",24.2,17,0.115,1.548,1.663,0.033,0.016,0.017,0.05,0.083,0.032,0.014,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5426,5555,NA,NA,NA,NA
"BV67","E060",24.2,18,0.115,2.06999999999999,2.185,0.034,0.017,0.017,0.049,0.083,0.032,0.024,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5340,5512,NA,NA,NA,NA
"BV67","E060",24.2,19,0.116,1.502,1.618,0.031,0.017,0.014,0.054,0.085,0.032,0.02,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5426,5512,NA,NA,NA,NA
"BV67","E060",24.2,20,0.116,2.25,2.366,0.034,0.025,0.009,0.049,0.083,0.033,0.017,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5254,5426,NA,NA,NA,NA
"BV1eye","E061",24.4,1,0.288,1.975,2.263,0.036,0.025,0.011,0.048,0.084,0.036,0.014,0.022,0.047,0.083,0.035,0.009,0.026,0.051,0.086,0.035,0.01,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5211,5297,5297,5297,NA,NA
"BV1eye","E061",24.4,2,0.203,1.869,2.072,0.037,0.018,0.019,0.048,0.085,0.036,0.008,0.028,0.046,0.082,0.037,0.017,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5297,5340,5340,NA,NA,NA
"BV1eye","E061",24.4,3,0.289,1.822,2.111,0.037,0.016,0.021,0.042,0.079,0.037,0.026,0.011,0.048,0.085,0.036,0.01,0.026,0.055,0.091,0.033,0.013,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4823,5038,5124,5081,NA,NA
"BV1eye","E061",24.4,4,0.287,1.735,2.022,0.037,0.01,0.027,0.046,0.083,0.036,0.02,0.016,0.047,0.083,0.036,0.018,0.018,0.049,0.085,0.036,0.016,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5124,5211,5254,5254,NA,NA
"BV1eye","E061",24.4,5,0.206,2.005,2.211,0.036,0.018,0.018,0.049,0.085,0.036,0.014,0.022,0.048,0.084,0.037,0.014,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5211,5254,5297,NA,NA,NA
