Frog_ID,Unattenuated_Signal_Level,Attenuated_Signal_Level,Noise,Attenuation,Choice
Hch275-11,85,81,present,-4,1
Hch275-11,85,79,present,-6,1
Hch276-11,85,83,absent,-2,1
Hch276-11,85,81,absent,-4,1
Hch276-11,85,79,absent,-6,1
Hch276-11,85,83,present,-2,0
Hch276-11,85,81,present,-4,1
Hch276-11,85,79,present,-6,1
Hch277-11,85,83,absent,-2,0
Hch277-11,85,81,absent,-4,1
Hch277-11,85,79,absent,-6,0
Hch277-11,85,83,present,-2,0
Hch277-11,85,81,present,-4,1
Hch277-11,85,79,present,-6,0
Hch283-11,85,83,absent,-2,1
Hch283-11,85,81,absent,-4,1
Hch283-11,85,79,absent,-6,1
Hch283-11,85,83,present,-2,1
Hch283-11,85,81,present,-4,1
Hch283-11,85,79,present,-6,1
Hch284-11,85,83,absent,-2,1
Hch284-11,85,81,absent,-4,0
Hch284-11,85,79,absent,-6,1
Hch284-11,85,83,present,-2,1
Hch284-11,85,81,present,-4,1
Hch284-11,85,79,present,-6,1
Hch285-11,85,83,absent,-2,0
Hch285-11,85,81,absent,-4,1
Hch285-11,85,79,absent,-6,1
Hch285-11,85,83,present,-2,0
Hch285-11,85,81,present,-4,1
Hch285-11,85,79,present,-6,1
Hch286-11,85,83,absent,-2,0
Hch286-11,85,81,absent,-4,1
Hch286-11,85,79,absent,-6,1
Hch286-11,85,83,present,-2,1
Hch286-11,85,81,present,-4,0
Hch286-11,85,79,present,-6,1
Hch287-11,85,83,absent,-2,1
Hch287-11,85,81,absent,-4,1
Hch287-11,85,79,absent,-6,1
Hch287-11,85,83,present,-2,1
Hch287-11,85,81,present,-4,1
Hch287-11,85,79,present,-6,1
Hch288-11,85,83,absent,-2,0
Hch288-11,85,81,absent,-4,1
Hch288-11,85,79,absent,-6,1
Hch288-11,85,83,present,-2,1
Hch288-11,85,81,present,-4,1
Hch288-11,85,79,present,-6,1
Hch294-11,85,83,absent,-2,0
Hch294-11,85,81,absent,-4,0
Hch294-11,85,79,absent,-6,0
Hch294-11,85,83,present,-2,1
Hch294-11,85,81,present,-4,1
Hch294-11,85,79,present,-6,0
Hch295-11,85,83,absent,-2,1
Hch295-11,85,81,absent,-4,1
Hch295-11,85,79,absent,-6,1
Hch295-11,85,83,present,-2,1
Hch295-11,85,81,present,-4,0
Hch295-11,85,79,present,-6,1
Hch296-11,85,83,absent,-2,0
Hch296-11,85,81,absent,-4,1
Hch296-11,85,79,absent,-6,1
Hch296-11,85,83,present,-2,1
Hch296-11,85,81,present,-4,1
Hch296-11,85,79,present,-6,1
Hch334-11,85,83,absent,-2,1
Hch334-11,85,81,absent,-4,1
Hch334-11,85,79,absent,-6,1
Hch334-11,85,83,present,-2,1
Hch334-11,85,81,present,-4,1
Hch334-11,85,79,present,-6,1
Hch335-11,85,83,absent,-2,0
Hch335-11,85,81,absent,-4,1
Hch335-11,85,79,absent,-6,0
Hch335-11,85,83,present,-2,1
Hch335-11,85,81,present,-4,1
Hch335-11,85,79,present,-6,0
Hch336-11,85,83,absent,-2,1
Hch336-11,85,81,absent,-4,1
Hch336-11,85,79,absent,-6,1
Hch336-11,85,83,present,-2,1
Hch336-11,85,81,present,-4,1
Hch336-11,85,79,present,-6,1
Hch357-11,85,83,absent,-2,0
Hch357-11,85,81,absent,-4,0
Hch357-11,85,79,absent,-6,1
Hch357-11,85,83,present,-2,0
Hch357-11,85,81,present,-4,1
Hch357-11,85,79,present,-6,1
Hch359-11,85,83,absent,-2,1
Hch359-11,85,81,absent,-4,1
Hch359-11,85,79,absent,-6,1
Hch359-11,85,83,present,-2,1
Hch359-11,85,81,present,-4,1
Hch359-11,85,79,present,-6,1
Hch360-11,85,83,absent,-2,1
Hch360-11,85,81,absent,-4,1
Hch360-11,85,79,absent,-6,1
Hch360-11,85,83,present,-2,0
Hch360-11,85,81,present,-4,1
Hch360-11,85,79,present,-6,1
Hch361-11,85,83,absent,-2,0
Hch361-11,85,81,absent,-4,1
Hch361-11,85,79,absent,-6,1
Hch361-11,85,83,present,-2,1
Hch361-11,85,81,present,-4,0
Hch361-11,85,79,present,-6,1
Hch362-11,85,83,absent,-2,1
Hch362-11,85,81,absent,-4,1
Hch362-11,85,79,absent,-6,0
Hch362-11,85,83,present,-2,1
Hch362-11,85,81,present,-4,1
Hch362-11,85,79,present,-6,1
Hch363-11,85,83,absent,-2,0
Hch363-11,85,81,absent,-4,0
Hch363-11,85,79,absent,-6,1
Hch363-11,85,83,present,-2,1
Hch363-11,85,81,present,-4,0
Hch363-11,85,79,present,-6,1
Hch368-11,85,83,absent,-2,0
Hch368-11,85,81,absent,-4,0
Hch368-11,85,79,absent,-6,1
Hch368-11,85,83,present,-2,0
Hch368-11,85,81,present,-4,1
Hch368-11,85,79,present,-6,1
Hch369-11,85,83,absent,-2,0
Hch369-11,85,81,absent,-4,0
Hch369-11,85,79,absent,-6,1
Hch369-11,85,83,present,-2,1
Hch369-11,85,81,present,-4,0
Hch369-11,85,79,present,-6,0
Hch370-11,85,83,absent,-2,0
Hch370-11,85,81,absent,-4,1
Hch370-11,85,79,absent,-6,1
Hch370-11,85,83,present,-2,0
Hch370-11,85,81,present,-4,0
Hch370-11,85,79,present,-6,1
