f1,f2,percentage_correct
10,18,88
18,26,86
26,34,91
18,10,94
26,18,88
34,26,83
14,22,89
16,22,79
18,22,75
20,22,62
24,22,48
26,22,58
28,22,80
30,22,87
22,30,89
22,28,84
22,26,77
22,24,65
22,22,55
22,20,67
22,18,70
22,16,81
22,14,88
