"File","ID","Treatment","Treatment_dir","aggression_First_H","aggression_Last_H","aggression_Discrimination","aggression_change","percent","direction","treatment_col"
"J011","10","9%","9%Down",0.0739553568331259,-0.904519562485171,-0.904519562485171,0,"9","Down","X9_Down"
"K001","7","9%","9%Up",0.0229059878535649,0.155850637972427,-0.4280587853426,-0.583909423315027,"9","Up","X9_Up"
"K004","9","12%","12%Up",3.39760539502898,0.227103463771809,8.7071909592108,8.48008749543899,"12","Up","X12_Up"
"J016","2","9%","9%Down",-0.972585387791252,-0.972585387791252,-0.972585387791252,0,"9","Down","X9_Down"
"K011","6","Control","Control",0.0263532759009375,-1.04993291654816,-1.04993291654816,0,"0","Control","X0_Control"
"K014","5","9%","9%Up",1.0909378957396,-0.121762571465234,-0.121762571465234,0,"9","Up","X9_Up"
"K019","7","3%","3%Down",2.68461609328455,-0.228115423505986,-0.269589450733958,-0.0414740272279716,"3","Down","X3_Down"
"J021","3","Control","Control",-0.379114962996323,-1.04065121309733,-1.38098033962774,-0.340329126530407,"0","Control","X0_Control"
"J022","4","3%","3%Up",-0.194039490037882,-1.63433646715593,-1.63433646715593,0,"3","Up","X3_Up"
"K023","8","3%","3%Up",-0.68477849194752,-0.972585387791252,-0.972585387791252,0,"3","Up","X3_Up"
"K024","5","Control","Control",-0.540875044025654,-0.279322352266349,-0.279322352266349,0,"0","Control","X0_Control"
"K026","7","Control","Control",0.942146822627969,0.0377667065958944,0.509987709928522,0.472221003332628,"0","Control","X0_Control"
"J028","2","Control","Control",0.466449091427409,-0.85914234561445,-0.85914234561445,0,"0","Control","X0_Control"
"J029","3","12%","12%Up",-1.90849048574987,-1.05766766942385,-0.583312438914567,0.474355230509287,"12","Up","X12_Up"
"J030","4","12%","12%Down",0.729819454825297,-0.283769831006057,0.20263155259867,0.486401383604728,"12","Down","X12_Down"
"L014","1","12%","12%Up",4.15934232831061,-0.729493154555247,1.74330028209029,2.47279343664554,"12","Up","X12_Up"
"K027","Alt8","9%","9%Down",1.47146768332783,-0.972585387791252,0.243418071220568,1.21600345901182,"9","Down","X9_Down"
"K028","9","Control","Control",4.00297651066015,-0.915863866702851,-0.915863866702851,0,"0","Control","X0_Control"
"L016","8","9%","9%Down",0.0367354436867846,-1.11438919051226,-1.11438919051226,0,"9","Down","X9_Down"
"K030","6","3%","3%Up",1.89864658784596,-0.374927579303743,-0.569564053742085,-0.194636474438343,"3","Up","X3_Up"
"L020","Alt2","12%","12%Down",0.874824598311288,0.049469105388299,0.232403181034237,0.182934075645938,"12","Down","X12_Down"
"L021","Alt10","Control","Control",3.17131830067291,0.0091332464310766,0.0091332464310766,0,"0","Control","X0_Control"
"L022","Alt8","12%","12%Down",-0.83680466161797,-0.695000858896967,-0.0281433811259962,0.66685747777097,"12","Down","X12_Down"
"L023","4","9%","9%Down",3.12957676293368,-0.318106298309699,-0.190055901090262,0.128050397219437,"9","Down","X9_Down"
"L024","Alt2","3%","3%Up",1.65752825159355,-0.958849031301056,-1.02372785611384,-0.064878824812781,"3","Up","X3_Up"
"M011","8","12%","12%Down",-0.540875044025654,-0.972585387791252,-0.972585387791252,0,"12","Down","X12_Down"
"M015","Alt8","3%","3%Up",6.21016161080375,-0.440821127587491,-0.440821127587491,0,"3","Up","X3_Up"
"J040","1","Control","Control",2.17895821309984,-0.443621390437006,0.804802558693956,1.24842394913096,"0","Control","X0_Control"
"J041","Alt1","3%","3%Down",2.90517049318524,-0.094316674164394,-0.094316674164394,0,"3","Down","X3_Down"
"L026","Alt10","12%","12%Down",2.41663809944346,-1.03803329673941,-1.10348120568756,-0.065447908948155,"12","Down","X12_Down"
"M021","6","9%","9%Down",-0.0953136034675234,-1.06214568424662,-0.84282773816569,0.219317946080932,"9","Down","X9_Down"
"M023","Alt5","12%","12%Up",4.84701689039845,-0.972585387791252,-0.972585387791252,0,"12","Up","X12_Up"
"J039","3","3%","3%Down",-0.392944418829542,-0.802420824526048,-0.607784350087706,0.194636474438343,"3","Down","X3_Down"
"N003","Alt2","Control","Control",1.09610467612517,-0.121762571465234,-0.121762571465234,0,"0","Control","X0_Control"
"M024","7","12%","12%Up",0.170514761196122,-0.923966941144051,-0.923966941144051,0,"12","Up","X12_Up"
"N005","4","Control","Control",1.02142167614214,-0.000216454847232206,-0.000216454847232206,0,"0","Control","X0_Control"
"N006","Alt10","9%","9%Down",0.326256478316703,-0.83964073767239,0.422929009754877,1.26256974742727,"9","Down","X9_Down"
"J050","Alt1","12%","12%Up",-0.717812692552496,-0.834614120278925,-0.834614120278925,0,"12","Up","X12_Up"
"M026","Alt8","Control","Control",-0.907706562978471,-0.607947037937245,0.27161614391523,0.879563181852475,"0","Control","X0_Control"
"M029","6","12%","12%Down",-0.200422524260475,-0.547173979628243,0.926338657331785,1.47351263696003,"12","Down","X12_Down"
"M030","Alt5","3%","3%Down",1.36362316385233,-1.11438919051225,-1.11438919051225,0,"3","Down","X3_Down"
"M031","8","Control","Control",1.11036601584223,-0.776241660946787,-0.776241660946787,0,"0","Control","X0_Control"
"J052","3","9%","9%Up",-0.478360346105364,-0.85523051657387,-0.85523051657387,0,"9","Up","X9_Up"
"M033","5","9%","9%Up",0.522682156925245,-0.975772388284553,1.57307390634619,2.54884629463074,"9","Up","X9_Up"
"Q002","9","3%","3%Down",2.32067467731455,-0.759879683709747,-0.472072787866015,0.287806895843732,"3","Down","X3_Down"
"J058","11","9%","9%Up",0.335152648675486,-1.06712125627192,-1.06712125627192,0,"9","Up","X9_Up"
"J059","Alt1","9%","9%Up",-0.491331593906349,-0.880604542783034,-0.880604542783034,0,"9","Up","X9_Up"
"J062","12","12%","12%Down",-0.650325490904007,-0.547173979628243,-0.224914082740998,0.322259896887245,"12","Down","X12_Down"
"N015","8","6%","6%Up",-0.00377521588024501,-0.972585387791252,1.24825846096821,2.22084384875946,"6","Up","X6_Up"
"N017","Alt10","3%","3%Up",-0.210106918975148,-1.5171119902399,-1.5171119902399,0,"3","Up","X3_Up"
"N018","4","6%","6%Up",-0.450325492488739,0.135462931144957,0.135462931144957,0,"6","Up","X6_Up"
"N019","6","6%","6%Up",-0.85908811633127,-0.826730047849649,-0.648353951576887,0.178376096272762,"6","Up","X6_Up"
"N020","Alt2","6%","6%Up",-0.551008599716125,-0.35664327169368,-0.526916293525242,-0.170273021831563,"6","Up","X6_Up"
"N024","Alt10","6%","6%Down",3.27169100668534,-1.76668668302887,-1.93685124629407,-0.170164563265204,"6","Down","X6_Down"
"Q005","Alt8","6%","6%Up",3.78179593085656,-0.508500215249787,-0.663195272763609,-0.154695057513822,"6","Up","X6_Up"
"Q007","2","6%","6%Up",1.90779986834384,-0.598316447950828,-0.972585387791252,-0.374268939840424,"6","Up","X6_Up"
"Q009","7","6%","6%Down",1.79885442337835,-0.759879683709747,-0.759879683709747,0,"6","Down","X6_Down"
"Q010","Alt5","6%","6%Down",1.59133041842468,-0.972585387791252,-0.75326744171032,0.219317946080932,"6","Down","X6_Down"
"Q011","9","6%","6%Down",0.466449091427409,-0.747987822719602,-1.46661153920636,-0.718623716486756,"6","Down","X6_Down"
"J066","3","6%","6%Down",0.405479560044573,-1.13464687661526,-0.988737307390473,0.145909569224782,"6","Down","X6_Down"
"J069","2","3%","3%Down",2.55549190431873,-1.05361613220325,2.97490807559574,4.02852420779899,"3","Down","X3_Down"
"J072","12","6%","6%Down",-0.46388090216584,-0.802420824526048,-0.514613928682316,0.287806895843732,"6","Down","X6_Down"
