Species,HostClutchID,ExpClutchID,Date,Time,ClutchSize,StillLaying,EmbryoScore,Result,MaxTime,Host_UV,Host_SW,Host_MW,Host_LW,Host_D,Exp_UV,Exp_SW,Exp_MW,Exp_LW,Exp_D,JND_Colour,JND_Luminance,Host_MeanLength,Host_MeanBreadth,Exp_Length,Exp_Breadth,Host_Dispersion,Host_StdDispersion,Host_PropPower,Host_FilterSize,Host_PatternProp,Host_PCPower,Exp_Dispersion,Exp_StdDispersion,Exp_PropPower,Exp_FilterSize,Exp_PatternProp,Exp_PCPower,ReplacedEgg,IntraClutch,InterClutch,ExpHost,ExpHost_all,DiffNum,DiffNum_all,ParaDist,Exp_FS,Exp_FSD,Host1_FS,Host1_FSD,Host2_FS,Host2_FSD,Host3_FS,Host3_FSD,Host_FS,Host_FSD,ExpComplexity,Complexity_egg1,Complexity_egg2,Complexity_egg3,AvHostComplexity
Prinia subflava,2007_PS097,2007_PS024 ,25/02/2007,16,3,No,2,1,4,0.2207,0.24668,0.38142,0.52868,0.4266,0.21486,0.2341,0.38496,0.56734,0.44358,1.6655,0.7806,14.77,11.92,16.04,11.53,-0.07215,-0.495014355,0.340466665,3.666666665,0.16685,-0.6466163,0.0166,2.11914894,0.3654,2,0.00783333,-1.3156547,3,0.908996667,0.939342517,0.97583,0.967386667,164,136,0.925506667,8.791775632,12.39361561,6.311146683,4.231296831,6.345422402,5.942266332,,,6.328284543,5.086781582,1457.753708,3506.376029,2398.121904,,2952.248967
Prinia subflava,2007_PS109,2007_PS021 ,02/03/2007,16,3,No,2,0,4,0.13992,0.1812,0.3043,0.47722,0.36016,0.13808,0.1874,0.3012,0.41286,0.33604,2.5253,1.3864,15.08,11.65,16.51,11.23,0.0649,1.38206686,0.35173333,3.33333333,0.04738333,-1.16605455,0.0229,1.32115385,0.37606667,2.66666667,0.01733333,-1.2469296,3,0.928813333,0.947459136,0.873395,0.898646667,-6.5,48.66666667,0.932546667,6.55320415,6.33263964,8.180513754,6.532583441,6.294631203,3.299423195,,,7.237572479,4.916003318,2547.046388,2890.22936,2091.60553,,2490.917445
Prinia subflava,2007_PS111,2007_PS035 ,01/03/2007,17,3,No,2,1,3,0.57898,0.80938,0.85254,0.81394,0.836,0.59926,0.58156,0.60796,0.64488,0.61982,4.1192,5.984,15.22,10.79,15.87,11.55,0.0701,0.123424485,0.400366665,2.5,0.51438333,1.517032835,-0.0065,-0.0127944,0.30803333,3.33333333,0.50803333,-0.3865587,3,0.928273333,0.941076069,0.914425,0.92126,-20,-86.66666667,0.93067,5.470463677,4.331489502,5.864675803,4.849724082,7.274545981,6.119136495,,,6.569610892,5.484430289,3682.226822,4135.139716,3317.503639,,3726.321678
Prinia subflava,2007_PS112,2007_PS033 ,01/03/2007,18,4,No,0,1,3,0.4861,0.5196,0.54852,0.5608,0.55102,0.6764,0.83188,0.88446,0.86978,0.87652,1.6044,9.2838,14.48,10,14.68,11.27,0.232,0.647261173,0.337322223,2.666666667,0.30621111,0.9070442,-0.0941,-1.0478842,0.2917,4,0.0898,-0.5542556,4,0.920378333,0.952167835,0.909703333,0.908505,105,55,0.9770675,4.548274926,3.079886256,5.493764174,4.42016184,5.030217388,3.34762716,5.074125295,4.022282876,5.199368952,3.930023959,3329.994221,3750.194816,3155.241503,4433.581722,3779.67268
Prinia subflava,2007_PS115,2007_PS014 ,01/03/2007,14,2,No,2,1,3,0.14544,0.24026,0.34788,0.40502,0.36326,0.15266,0.2253,0.33672,0.46802,0.37884,2.96435,0.44425,15.06,10.56,14.92,11.11,0.0501,0.70398126,0.36643333,2.66666667,0.07116667,-0.9297884,-0.3481,-1.2181267,0.36616667,4,0.28576667,-0.8740661,2,NaN,0.943523696,0.91855,0.91855,-116,-116,0.90062,6.86328636,4.57688245,8.672633908,6.121022664,,,,,8.672633908,6.121022664,2832.78511,2524.340048,,,2524.340048
Prinia subflava,2007_PS121,2007_PS095 ,02/03/2007,17,3,No,0,1,4,0.1016,0.24489,0.33477,0.34418,0.33343,0.41314,0.47606,0.57964,0.63226,0.59254,9.39305,11.83865,15.41,12,14.85,11.78,-0.3576,-0.81983415,0.384666665,3.33333333,0.37215,-0.3124439,0.0111,0.04462013,0.439,2,0.24876667,0.58732466,3,0.8914,0.935324584,0.899025,0.89627,40.5,48.33333333,0.91494,8.868317479,6.431584537,7.476167936,6.156852757,7.923967356,7.339896205,,,7.700067646,6.748374481,2702.010472,3429.112718,3358.019414,,3393.566066
Prinia subflava,2007_PS133,2007_PS126 ,05/03/2007,13,4,No,0,0,6,0.39398,0.55776,0.59494,0.55892,0.58022,0.21366,0.4235,0.45204,0.385,0.42594,3.7681,6.1822,16.17,12,15.41,11.22,0.1942,0.391712123,0.33068889,3.11111111,0.515522223,-0.527744067,0.44,0.90965474,0.33453333,3.33333333,0.4837,-0.774466,4,0.9146,0.935856754,0.910233333,0.9146025,-36,-81,0.9344975,5.970895017,3.778356897,6.611538229,5.561094477,6.230516817,4.981329752,6.346264599,5.980568173,6.396106548,5.507664134,3790.078757,3475.237429,3539.987933,3495.909706,3503.711689
Prinia subflava,2007_PS140,2007_PS121 ,08/03/2007,14,3,Yes,0,1,1,0.2008,0.20524,0.28586,0.41472,0.32862,0.12414,0.29642,0.40088,0.39752,0.3943,10.0184,3.6442,15.59,12.2,15.38,12.12,0.1885,0.585999345,0.34195,1.333333335,0.32565,-0.8828876,0.1832,1.040318,0.41573333,2.66666667,0.1761,-0.8479873,3,0.88576,0.944061272,0.89706,0.89916,-99,-89,0.93578,7.801324616,6.149214972,10.14705199,9.861347072,10.40991769,10.43434786,,,10.27848484,10.14784747,2446.083871,2583.816117,2395.973132,,2489.894625
Prinia subflava,2008_PS004,2008_PS003 ,12/01/2008,13,4,No,4,1,3,0.39812,0.71658,0.79514,0.70252,0.75706,0.38466,0.6871,0.73536,0.60714,0.68448,1.5508,2.0157,15.29,11.18,15.62,11.36,-0.080233333,-0.366215853,0.35268889,3.11111111,0.457611113,-0.36119009,-0.2963,-2.2339784,0.30296667,2.66666667,0.13263333,-0.7970768,4,0.911943333,0.938084519,0.95157,0.9544175,177.6666667,187.25,0.9286975,5.413672646,5.324326702,6.339304529,4.688895889,6.178160715,5.040556853,6.022586649,5.538051644,6.180017298,5.089168129,2309.989094,3377.336258,2921.339485,3354.024073,3217.566605
Prinia subflava,2008_PS007,2008_PS003 ,12/01/2008,17,3,No,2,0,4,0.30568,0.7074,0.77706,0.6339,0.721,0.26462,0.59438,0.6485,0.52074,0.59794,0.5572,3.743,14.83,11.15,15.48,11.26,0.59655,1.472141065,0.34785,2.333333335,0.40165,-0.2665855,-0.3776,-0.7611369,0.37563333,2,0.4961,0.67961269,3,0.92708,0.937206046,0.94944,0.949706667,-384.5,-386.6666667,0.916583333,6.422426319,5.506728258,6.412454466,4.640705844,7.2271968,5.661787952,,,6.819825633,5.151246898,3999.895546,2270.707114,2775.3732,,2523.040157
