Species,HostClutchID,ExpClutchID,Date,Time,ClutchSize,StillLaying,EmbryoScore,Result,MaxTime,Host_UV,Host_SW,Host_MW,Host_LW,Host_D,Exp_UV,Exp_SW,Exp_MW,Exp_LW,Exp_D,JND_Colour,JND_Luminance,Host_MeanLength,Host_MeanBreadth,Exp_Length,Exp_Breadth,Host_Dispersion,Host_StdDispersion,Host_PropPower,Host_FilterSize,Host_PatternProp,Host_PCPower,Exp_Dispersion,Exp_StdDispersion,Exp_PropPower,Exp_FilterSize,Exp_PatternProp,Exp_PCPower,ReplacedEgg,IntraClutch,InterClutch,ExpHost,ExpHost_all,DiffNum,DiffNum_all,ParaDist,Exp_FS,Exp_FSD,Host1_FS,Host1_FSD,Host2_FS,Host2_FSD,Host3_FS,Host3_FSD,Host_FS,Host_FSD,ExpComplexity,Complexity_egg1,Complexity_egg2,Complexity_egg3,AvHostComplexity
Prinia subflava,2008_PS143,2008_PS091 ,13/02/2008,11,3,No,0,1,1,0.39748,0.41452,0.57372,0.7509,0.62988,0.54736,0.85962,0.96692,1.00256,0.97422,6.0532,8.7222,15.66,11.9,15.57,11.45,-0.2931,-0.59520905,0.33436667,2.666666665,0.506466665,-0.9208522,0.4912,0.84196092,0.3589,2.66666667,0.5834,-0.5872598,3,0.953751667,0.94526944,0.9249,0.937375,-17,-114.25,0.942175,6.349948879,5.667754862,7.111856538,4.771328757,6.307263736,5.714370143,,,6.709560137,5.24284945,3402.093691,3834.031314,3794.989759,,3814.510537
Prinia subflava,2008_PS145,2008_PS102 ,14/02/2008,14,2,No,NaN,0,5,0.32828,0.45428,0.63818,0.76496,0.67514,0.43468,0.57836,0.79516,0.92472,0.83118,1.0193,4.1585,15.4,11.23,15.67,11.13,0.1777,1.17371202,0.33793333,3.33333333,0.1514,-0.265518,-0.0174,-0.0568071,0.37406667,2,0.3063,-0.9741391,2,0.96259,0.943808964,0.97279,0.93701,221,115.5,0.95318,7.672465814,5.49340686,6.434853575,5.03136664,,,,,6.434853575,5.03136664,2909.858429,2723.81705,,,2723.81705
Prinia subflava,2008_PS160,2008_PS073 ,15/02/2008,12,3,Yes,0,1,2,0.26194,0.27022,0.4463,0.67404,0.5203,0.20082,0.3474,0.53272,0.6127,0.55246,6.4143,1.1995,15.5,11.42,15.71,11.44,0.2505,1.33766465,0.32006667,2.66666667,0.18726667,-1.1112601,0.3761,2.54580325,0.3443,2,0.14773333,-1.0461122,2,0.92308,0.941830614,0.91608,0.91217,72,54.5,0.97253,5.895977087,3.416574864,6.302538462,4.602316333,,,,,6.302538462,4.602316333,2356.851084,3116.759387,,,3116.759387
Prinia subflava,2008_PS168,2008_PS142 ,17/02/2008,10,3,No,0,1,1,0.53442,0.90394,0.953,0.83926,0.90952,0.81492,0.97664,1.02786,1.01302,1.02022,3.9002,2.2971,15.12,11.44,15.32,11.5,0.1172,0.35670421,0.448666665,1.833333335,0.2986,3.375377265,0.0806,0.37947269,0.41103333,2,0.2124,3.47835173,3,0.94174,0.944478901,0.91162,0.926603333,-48.5,129.6666667,0.91273,7.364029276,5.756496186,7.979971955,6.481518979,7.123287388,6.309763546,,,7.551629672,6.395641263,2846.952152,2713.091789,2792.621621,,2752.856705
Prinia subflava,2008_PS188,2008_PS143 ,01/03/2008,12,3,No,2,0,3,0.27522,0.329,0.51544,0.72108,0.58044,0.39748,0.41452,0.57372,0.7509,0.62988,3.7924,1.6349,14.64,10.63,15.58,11.77,0.2,1.46310967,0.39288333,2.333333335,0.13328333,-1.20994415,0.0691,0.34746899,0.3641,2,0.19886667,-1.0240771,3,0.889326667,0.959889668,0.96347,0.958903333,-161,-157.3333333,0.942943333,6.430431865,4.176066555,6.114400714,4.81317267,11.26474189,10.31252306,,,8.689571302,7.562847865,3939.40178,2300.979411,1653.144212,,1977.061812
Prinia subflava,2008_PS191,2008_PS182 ,04/03/2008,13,3,No,5,1,1,0.21208,0.23002,0.39482,0.64794,0.47808,0.3509,0.37152,0.5164,0.677,0.56712,6.4034,3.4159,15.51,10.88,16.39,11.95,0.0263,0.163587345,0.33045,3.33333333,0.15275,-0.89925585,0.1218,0.87458114,0.29346667,2.33333333,0.13926667,-1.2189727,3,0.948523333,0.945283266,0.950825,0.93481,163,112.3333333,0.951613333,7.337912172,8.201831297,6.379534108,5.309793835,5.499448708,4.294427836,,,5.939491408,4.802110836,2593.09653,3432.173894,3622.60794,,3527.390917
Prinia subflava,2008_PS200,2008_PS143 ,01/03/2008,14,4,No,3,1,3,0.15702,0.58104,0.61954,0.43328,0.5537,0.39748,0.41452,0.57372,0.7509,0.62988,15.4965,2.5781,15.6,11.57,15.44,11.26,0.0532,0.690695247,0.32508889,2.888888887,0.123244443,-0.822294233,0.0048,0.10549451,0.3458,2,0.0455,-1.0897958,4,0.941481667,0.938686002,0.952443333,0.9543975,246.6666667,213,0.9488625,9.594961083,9.005915901,5.954452513,4.108557716,5.470237378,4.99811201,8.483622971,11.54428237,6.636104287,6.883650699,2505.760986,2975.572326,3975.563582,1628.701751,2859.945886
Prinia subflava,2008_PS207,2008_PS160 ,04/03/2008,11,4,Yes,0,0,8,0.34646,0.44312,0.5957,0.68436,0.62046,0.26194,0.27022,0.4463,0.67404,0.5203,6.3072,3.5211,16,11.03,15.58,11.47,-0.0574,-0.694990317,0.365977777,2.666666667,0.0533,-0.853973533,-0.0165,-0.1191049,0.33623333,2.33333333,0.13853333,-1.1997235,4,0.940786667,0.944831966,0.930783333,0.92363,50.66666667,56.75,0.91266,6.731568206,6.320062539,6.610786423,7.990449089,9.297882492,10.11596932,6.843133546,7.82436276,7.583934154,8.643593723,2905.520363,3097.969998,3191.31971,2413.290618,2900.860109
Prinia subflava,2008_PS208,2008_PS093 ,05/03/2008,14,3,No,1,1,3,0.31632,0.35164,0.50078,0.6595,0.55062,0.87422,0.99464,1.03394,1.0395,1.03436,8.333,12.6099,15.23,10.93,16.13,11.49,0.28145,0.61835023,0.363366665,2.66666667,0.417633335,-0.16691092,0.1009,0.60929952,0.43706667,2,0.1656,2.26245388,3,0.89306,0.933551066,0.92466,0.922376667,-148,-155,0.941006667,7.017271412,5.582885232,7.770267844,8.203433713,6.519269933,5.782603152,,,7.144768889,6.993018433,3214.041485,3432.242577,3168.254299,,3300.248438
Prinia subflava,2008_PS210,2008_PS198 ,08/03/2008,13,3,No,1,1,2,0.61594,0.76374,0.85814,0.89428,0.86628,0.5024,0.79498,0.83166,0.75932,0.80382,3.1787,1.4967,15.64,11.52,15,11.7,0.3862,0.693427915,0.387766665,2.66666667,0.56995,0.789867525,0.1932,0.42838137,0.3724,1.66666667,0.451,0.61422473,3,0.91579,0.936894195,0.92312,0.918143333,-46,-34,0.966033333,7.154953555,6.164710785,6.567495526,4.56237434,8.328773327,7.451017915,,,7.448134427,6.006696128,3391.688793,3364.118095,3585.833147,,3474.975621
Prinia subflava,2008_PS217,2008_PS208 ,09/03/2008,11,3,No,1,1,1,0.64768,0.93904,0.9747,0.91504,0.95158,0.31632,0.35164,0.50078,0.6595,0.55062,8.5728,10.9416,15.49,11.41,15.53,11.02,0.60145,1.58350287,0.3665,3,0.37978333,2.14856881,0.4192,1.11193634,0.33173333,3.66666667,0.377,-0.3953398,3,0.91917,0.947048428,0.96211,0.953653333,377.5,298.6666667,0.94663,7.070944148,5.939956503,5.797649984,4.461205727,5.93271327,4.774521453,,,5.865181627,4.61786359,3223.845282,3895.528613,3592.067395,,3743.798004
Prinia subflava,2008_PS222,2008_PS068 ,08/03/2008,13,3,Yes,0,0,7,0.66254,0.86218,0.8756,0.8182,0.85492,0.62582,0.78858,0.9083,0.96866,0.92406,3.5756,1.5554,14.92,10.97,15.84,11.57,0.57355,2.111586455,0.32605,3.33333333,0.29006667,-0.80943335,0.4535,0.68805948,0.3779,2,0.6591,-0.9104558,3,0.940206667,0.946814785,0.95727,0.965776667,120.5,241,0.939936667,8.005888974,7.755119232,5.305854213,4.547394345,4.376012218,3.38339475,,,4.840933216,3.965394548,3064.685035,2838.962956,2570.440085,,2704.701521
Prinia subflava,2008_PS225,2008_PS168 ,12/03/2008,13,3,No,2,1,1,0.6892,0.9041,0.96722,0.9596,0.96152,0.53442,0.90394,0.953,0.83926,0.90952,3.028,1.112,14.72,11.22,15.2,11.56,0.36065,0.81031851,0.36873333,3,0.4566,0.51589369,0.2549,0.73819867,0.3798,3.33333333,0.3453,0.86454528,3,0.912853333,0.938718547,0.93764,0.941723333,-441.5,-438.6666667,0.958153333,5.999765007,5.070736551,6.891042254,5.083125335,6.44558297,4.595346635,,,6.668312612,4.839235985,4831.333667,3436.513924,3557.594374,,3497.054149
Prinia subflava,2008_PS226,2008_PS207 ,10/03/2008,13,3,No,2,1,2,0.691,0.90854,0.97444,0.96592,0.96834,0.34646,0.44312,0.5957,0.68436,0.62046,5.2978,8.9024,14.34,11.42,16.21,11.12,-0.11505,-0.8004511,0.38186667,2.166666665,0.1414,1.860066285,-0.0754,-0.7667797,0.3611,2.66666667,0.09833333,0.11181343,3,0.924026667,0.938008386,0.93406,0.92162,94,144.6666667,0.944216667,7.029124173,6.042573596,6.671131027,5.483451654,8.721959372,7.607572798,,,7.6965452,6.545512226,2595.546876,3095.457636,2027.140966,,2561.299301
Prinia subflava,2008_PS230,2008_PS204 ,12/03/2008,11,3,No,3,0,5,0.3577,0.61628,0.78878,0.81194,0.7884,0.23416,0.3721,0.50608,0.54058,0.51218,1.2873,8.6266,15.84,11.46,15.28,11.34,-0.1571,-0.57945062,0.37088333,2.16666667,0.42,0.34975262,-0.2471,-1.3490446,0.3063,2,0.18316667,-0.8922177,3,0.90837,0.936675559,0.9329,0.924016667,137.5,109,0.91134,7.009621995,6.024670752,7.755073593,6.669978941,7.999688744,7.486026219,,,7.877381169,7.07800258,3570.789976,2958.200411,3199.761573,,3078.980992
Prinia subflava,2008_PS232,2008_PS186 ,12/03/2008,13,4,Yes,0,1,1,0.29934,0.7585,0.79204,0.61432,0.72672,0.25868,0.49682,0.64694,0.64624,0.63934,6.1774,2.5621,14.89,11.16,16.01,11.25,0.6446,2.204422183,0.405944443,2.222222223,0.29708889,0.31836863,-0.0751,-0.2275528,0.34263333,4,0.33003333,-0.3818371,4,0.894271667,0.942383141,0.951496667,0.950395,-212,-212.75,0.90077,6.092797341,5.495389238,8.806524915,7.781504235,8.786607915,6.791267124,8.42350807,7.247319193,8.672213633,7.273363517,3386.074563,2894.140208,2246.529819,2357.340641,2499.336889
Prinia subflava,2008_PS245,2008_PS117 ,14/03/2008,10,4,No,0,1,1,0.64236,0.8453,0.9054,0.89364,0.89876,0.29244,0.3798,0.57602,0.72704,0.62126,8.5526,7.3853,15.34,11.46,15.82,11.32,0.270133333,0.510496873,0.358444447,2.88888889,0.527577777,0.042669253,0.0338,0.228739,0.3269,2,0.14776667,-1.0701703,4,0.944533333,0.941110658,0.98588,0.98588,444,444,0.95646,5.149687975,3.908317146,5.972871691,4.235305848,5.998367033,4.821255015,6.69672443,4.527969826,6.222654385,4.528176896,2865.349169,4447.176845,4073.475461,3210.785227,3910.479178
Prinia subflava,2008_PS246,2008_PS230 ,15/03/2008,15,2,Yes,0,0,7,0.71096,0.85468,0.9181,0.93968,0.92318,0.3577,0.61628,0.78878,0.81194,0.7884,6.1713,3.1564,16.09,11.42,15.88,11.65,0.6549,1.53780526,0.35786667,1.66666667,0.42586667,2.53646864,0.433,1.16418713,0.47233333,2,0.37193333,0.59431113,2,0.90175,0.949096176,0.95928,0.958105,358,423,0.95917,7.924354463,7.824310739,6.620577048,5.874790645,,,,,6.620577048,5.874790645,2902.529204,3698.974952,,,3698.974952
Prinia subflava,2008_PS247,2008_PS149 ,13/03/2008,17,3,No,0,0,4,0.6224,0.85076,0.90548,0.85974,0.88658,0.45058,0.80734,0.86316,0.72808,0.8117,3.2138,1.7648,14.74,10.9,15.58,10.67,0.6651,1.432863185,0.326883335,3,0.47386667,-0.04875405,0.7717,2.46470776,0.3325,2.66666667,0.3131,-0.6395087,3,0.961613333,0.945068009,0.91326,0.929556667,111.5,-2.666666667,0.935766667,5.618909821,4.420498033,5.413061732,4.106302735,5.645380402,4.144024987,,,5.529221067,4.125163861,3476.588478,3072.676841,3409.435967,,3241.056404
Prinia subflava,2008_PS251,2008_PS226 ,18/03/2008,15,3,No,0,0,5,0.51792,0.82526,0.88256,0.80508,0.85232,0.72042,0.92942,0.99038,0.98014,0.98406,2.4516,2.8745,14.17,11.47,14.14,11.71,-0.06645,-0.25128595,0.437516665,2,0.261916665,1.09231753,0.0934,0.67436823,0.4112,1.66666667,0.1385,0.20345347,3,0.902316667,0.937115926,0.912585,0.912196667,-106,-89.66666667,0.94362,6.648400383,5.629111733,6.999021919,5.129877474,7.853457824,6.194726523,,,7.426239872,5.662301999,2993.191863,2897.014092,2723.439688,,2810.22689
Prinia subflava,2008_PS254,2008_PS225 ,18/03/2008,14,3,Yes,0,1,2,0.4889,0.84542,0.88726,0.77876,0.8467,0.6892,0.9041,0.96722,0.9596,0.96152,3.2375,2.5434,15.11,11.1,15.01,11.22,0.542,2.09024296,0.31536667,2.66666667,0.2593,0.64825774,0.4318,1.12467442,0.3699,2,0.38393333,1.69625618,2,0.90048,0.948466398,0.92456,0.91506,156,115.5,0.96117,6.176277132,4.746354902,4.873671004,4.11739212,,,,,4.873671004,4.11739212,3024.943787,3371.060421,3438.848835,,3404.954628
Prinia subflava,2009_PS027,2009_PS082 ,03/02/2009,15,3,No,3,1,2,0.1719,0.217,0.37388,0.55762,0.4333,0.24634,0.3633,0.49836,0.5776,0.52042,6.3619,3.6641,15.15,11.37,15.12,11.18,0.04475,0.774837075,0.3271,2.333333335,0.07586667,-0.8803654,-0.1307,-2.327003,0.31233333,2.66666667,0.05616667,-0.9093084,3,0.929383333,0.949596251,0.87667,0.893586667,19,-13,0.923696667,5.607313781,5.334630842,6.63147709,5.885194155,5.951085629,5.864846541,,,6.29128136,5.875020348,2724.100267,3235.305372,3319.159707,,3277.23254
Prinia subflava,2009_PS032,2009_PS014 ,01/02/2009,13,2,No,3,0,6,0.25278,0.59994,0.65558,0.56824,0.62134,0.5046,0.84154,0.89786,0.87022,0.8851,4.1013,7.0764,16.51,11.96,15.17,11.65,0.3142,0.5792061,0.3763,2,0.54246667,0.0844509,0.4276,0.74538059,0.37796667,2.66666667,0.57366667,-0.246599,2,0.9057,0.938051599,0.8764,0.89763,26,31,0.97232,6.699870625,4.225694674,7.173623823,6.378094138,,,,,7.173623823,6.378094138,3458.628549,3809.787273,,,3809.787273
Prinia subflava,2009_PS033,2009_PS043 ,01/02/2009,13,2,No,4,0,4,0.20542,0.31538,0.4794,0.56708,0.5032,0.34384,0.39256,0.49288,0.58422,0.52124,5.6914,0.7045,15.15,11.7,15.83,11.46,-0.0072,-0.0567078,0.40443333,2,0.12696667,-0.7456943,0.2366,0.56302054,0.42643333,2,0.42023333,-0.3905392,2,0.896803333,0.938504043,0.93995,0.94534,-204,-242.3333333,0.92437,6.75298178,6.36150918,8.441802688,6.307222754,,,,,8.441802688,6.307222754,3629.063677,3275.218007,,,3275.218007
Prinia subflava,2009_PS063,2009_PS055 ,04/02/2009,15,4,No,4,0,3,0.26486,0.50138,0.56814,0.53032,0.5508,0.61676,0.8502,0.87416,0.82288,0.85498,4.6056,8.7941,15.22,11.24,14.92,11.83,0.057066667,0.12277172,0.344833333,2.88888889,0.480366667,0.340645633,-0.1928,-0.6936083,0.33356667,1.66666667,0.27796667,0.36705935,4,0.907465,0.938768119,0.91872,0.910195,178.6666667,148.25,0.95757,7.715534468,6.970794995,7.377938738,6.461418192,5.863124994,4.810122726,6.652027852,5.908026842,6.631030528,5.726522587,3070.25439,3389.899891,3396.993553,3488.755164,3425.216203
Prinia subflava,2009_PS065,2009_PS073 ,04/02/2009,15,4,No,2,1,1,0.33976,0.63368,0.68144,0.61874,0.6566,0.32494,0.78648,0.83376,0.71296,0.78822,2.8104,3.654,15.32,11.27,13.5,11.83,-0.111833333,-0.454533167,0.32886667,2.88888889,0.2704,0.05825764,0.2983,0.74124079,0.3446,1.33333333,0.40243333,3.44867977,4,0.918176667,0.955473641,0.9405,0.9397,372.6666667,323,0.9572225,7.717013012,6.717560351,4.744193673,4.364699183,4.978062684,4.632893269,5.779975063,4.304789343,5.167410473,4.434127265,3124.358945,4689.936189,4894.905975,4127.642927,4570.828364
Prinia subflava,2009_PS074,2009_PS003 ,03/02/2009,13,4,No,3,1,1,0.21382,0.67398,0.77594,0.687,0.7384,0.17904,0.26928,0.39636,0.471,0.41754,7.0979,7.35505,15.25,11.18,15.46,11,0.134133333,0.525957587,0.323644443,2.88888889,0.26383333,-0.062772877,-0.0932,-0.6883309,0.3259,3,0.1354,-0.809194,4,0.927543333,0.936893555,0.949876667,0.9487575,302.6666667,284.5,0.9534825,7.631372636,8.930940386,5.240058787,4.33064096,6.034474866,4.273166043,7.460974352,5.825408961,6.245169335,4.809738655,3178.32746,3319.055562,2783.791495,2850.846838,2984.564632
Prinia subflava,2009_PS075,2009_PS080 ,03/02/2009,14,3,No,2,0,7,0.30598,0.71524,0.77152,0.64654,0.724,0.29216,0.68208,0.73714,0.61268,0.68858,0.1247,1.0032,14.65,10.89,15.67,10.8,-0.12125,-0.3982602,0.34788333,2.33333333,0.301833335,1.339291675,0.7107,2.62154187,0.33153333,2.66666667,0.2711,-0.3301223,3,0.888756667,0.937503642,0.96514,0.96851,307,303.3333333,0.92689,8.478635068,7.561457137,7.551742293,6.534603708,7.001534108,5.801852672,,,7.276638201,6.16822819,1898.562796,3492.837245,3154.352081,3158.512801,3268.567376
Prinia subflava,2009_PS077,2009_PS053 ,03/02/2009,13,4,No,0,0,7,0.37862,0.5966,0.67354,0.67058,0.669,0.70214,0.7501,0.8003,0.85174,0.81628,4.7368,3.9795,15.54,11.28,15.22,11.39,-0.062166667,-0.149550897,0.34688889,2.888888887,0.332177777,-0.4125241,-0.2067,-0.4442295,0.3792,2.66666667,0.4653,-0.1769399,4,0.93636,0.94477858,0.90583,0.91902,149.6666667,42,0.942095,6.463689768,4.536176995,5.75451674,4.110242647,5.305227612,4.935138716,5.411949661,4.112080919,5.490564671,4.385820761,3457.621826,3544.531148,3895.354933,3840.576199,3760.154093
Prinia subflava,2009_PS091,2009_PS074 ,06/02/2009,14,3,No,0,1,1,0.79176,0.85816,0.8916,0.8955,0.89132,0.21382,0.67398,0.77594,0.687,0.7384,12.6561,3.7644,15,10.82,15.11,11.2,0.0847,0.149086195,0.34888333,3,0.512433335,1.172588535,-0.0467,-0.1713342,0.3698,2,0.27256667,0.09436483,3,0.91098,0.940997824,0.92284,0.918426667,162.5,110.6666667,0.933143333,7.106887258,4.797016568,6.255227202,5.493358222,6.050972318,5.286014095,,,6.15309976,5.389686159,3235.972417,3138.721298,3441.049959,,3289.885629
Prinia subflava,2009_PS092,2009_PS043 ,06/02/2009,14,3,No,1,1,3,0.41736,0.5718,0.6377,0.64274,0.63652,0.33812,0.36626,0.45874,0.54438,0.4854,3.8162,5.4209,15.01,10.99,15.7,11.22,0.36165,0.70608387,0.30778333,3,0.637716665,-0.851141,-0.5017,-0.8983526,0.29393333,2.66666667,0.55846667,-1.0347429,3,0.921226667,0.939882418,0.92198,0.923296667,77.5,28.33333333,0.95752,7.642207263,6.370202832,6.240463177,4.292917932,6.657480406,5.443286025,,,6.448971792,4.868101979,3093.547741,3670.540892,2895.879002,,3283.209947
Prinia subflava,2009_PS093,2009_PS072 ,06/02/2009,13,3,No,0,0,8,0.33454,0.39682,0.53426,0.64044,0.56618,0.13932,0.22946,0.36518,0.4906,0.40426,6.7011,6.7371,15.9,11,15.9,10.81,-0.06955,-0.571794465,0.347633335,3,0.1212,-0.168119785,-0.102,-1.387126,0.34123333,3.33333333,0.07353333,-0.7755793,3,0.94379,0.942663099,0.916225,0.92448,118,38.33333333,0.944716667,5.526030761,4.238087586,5.02128028,3.917611659,5.444154032,4.487595969,,,5.232717156,4.202603814,4087.685692,3707.6199,2977.644791,,3342.632346
Prinia subflava,2009_PS100,2009_PS020 ,07/02/2009,17,3,No,0,0,8,0.49692,0.7554,0.78758,0.73194,0.76632,0.32136,0.72348,0.78704,0.68652,0.748,4.6618,0.4839,14.62,11.13,14.81,10.68,0.19715,0.18870121,0.37901667,2.833333335,0.33745,1.67519796,0.0862,0.27678476,0.33866667,3.33333333,0.31143333,1.14435785,3,0.91172,0.952403312,0.943675,0.93201,320.5,295.6666667,0.97401,6.630657794,6.357811168,5.032736256,4.341173889,6.173846992,5.914078294,,,5.603291624,5.127626092,2519.489727,4151.064238,3273.265368,,3712.164803
Prinia subflava,2009_PS108,2009_PS077 ,08/02/2009,12,4,No,0,1,1,0.46446,0.75978,0.79396,0.71214,0.76318,0.37862,0.5966,0.67354,0.67058,0.669,2.4768,2.6342,15.76,11.39,15.43,11.51,-0.1534,-0.386183943,0.369233333,2.88888889,0.4159,0.797632157,-0.011,-0.0466959,0.33903333,3.33333333,0.23556667,-0.8980643,4,0.910396667,0.951723977,0.96704,0.96396,619,541.25,0.9750175,6.551151311,4.827922662,5.507622107,4.319309809,5.655046713,4.127632181,5.770320125,4.410695815,5.644329648,4.285879268,2563.419671,4452.273717,4304.006659,4809.880828,4522.053735
Prinia subflava,2009_PS109,2009_PS084 ,08/02/2009,10,3,No,1,0,9,0.1642,0.20302,0.33626,0.473,0.37984,0.13218,0.24694,0.35516,0.41346,0.3713,5.1234,0.4548,17.55,11.87,16.09,11.07,0.0233,0.143704225,0.341116665,2.66666667,0.14983333,-0.8434299,-0.0136,-0.2881356,0.35343333,2,0.0472,-1.030228,3,0.92515,0.939837681,0.92433,0.919036667,117,62,0.92666,6.442280214,6.394429924,6.091502741,4.791864006,6.397942274,6.195090982,,,6.244722508,5.493477494,3141.62994,4678.562302,4418.707452,,4548.634877
Prinia subflava,2009_PS116,2009_PS056 ,10/02/2009,16,3,Yes,0,0,3,0.18546,0.22652,0.34704,0.46076,0.38274,0.19822,0.29106,0.42542,0.50188,0.4469,2.5711,3.0996,16,11.19,15.51,11.33,-0.0647,-2.278169,0.31776667,3.33333333,0.0284,-1.0882155,-0.0683,-1.4667144,0.3533,2,0.04656667,-0.863988,2,0.90816,0.942271401,0.88841,0.91416,-38,-93.5,0.933675,5.883806091,4.972643019,6.721895892,6.005939063,,,,,6.721895892,6.005939063,3845.028416,3297.263825,,,3297.263825
Prinia subflava,2009_PS117,2009_PS110 ,10/02/2009,16,4,No,1,0,8,0.55892,0.74956,0.79858,0.79964,0.7969,0.50858,0.60214,0.68266,0.75402,0.70414,2.1804,2.475,15.21,11.74,15.4,11.16,-0.3549,-0.699890767,0.365366667,3.33333333,0.553855557,0.530414587,0.2552,0.9025109,0.3659,4,0.28276667,-0.4991451,4,0.905191,0.945781478,0.936633333,0.942184,306.6666667,343,0.948334,6.418925317,4.801424607,5.847389516,5.324519681,6.672851301,5.254831207,6.080795366,4.295375213,6.200345394,4.958242034,2915.687728,4174.457498,3545.144822,3661.835408,3793.812576
Prinia subflava,2009_PS119,2009_PS050 ,10/02/2009,14,3,No,0,1,2,0.26264,0.62418,0.65232,0.5646,0.61968,0.29886,0.66428,0.71344,0.60808,0.673,0.6975,1.6508,16,11.26,15.7,11.18,0.04215,0.215656415,0.365783335,2.333333335,0.250533335,1.18897604,0.503,1.31343024,0.4264,2,0.38296667,2.34209724,3,0.914076667,0.943584227,0.922185,0.91934,197,163,0.963386667,7.99408076,5.91303024,6.22475983,5.162951486,6.083230738,6.627453831,,,6.153995284,5.895202659,3294.99853,3344.62018,4245.12789,,3794.874035
Prinia subflava,2009_PS120,2009_PS100 ,10/02/2009,14,2,No,1,0,7,0.72504,0.8777,0.93382,0.93248,0.93052,0.49692,0.7554,0.78758,0.73194,0.76632,2.4925,3.8829,14.38,11.14,14.34,10.89,0.0584,0.21742368,0.3366,2.66666667,0.2686,5.02487132,0.1277,0.57264574,0.3618,4,0.223,2.98207756,2,0.89943,0.942285573,0.8997,0.901195,-157,-150.5,0.96443,5.971656829,5.362886954,6.592845107,5.60010353,,,,,6.592845107,5.60010353,3484.59172,3013.029145,,,3013.029145
Prinia subflava,2009_PS121,2009_PS062 ,10/02/2009,17,4,No,0,0,14,0.27166,0.38332,0.50954,0.56958,0.52534,0.2085,0.2453,0.3914,0.57008,0.4491,5.9286,3.136,16.67,11.58,15.68,10.98,0.101866667,0.22486083,0.349266663,2.444444447,0.31888889,-0.234715867,-0.0606,-1.8017839,0.31876667,2,0.03363333,-0.917219,4,0.912781667,0.93480732,0.940273333,0.9411875,184,160.25,0.9466675,5.444642049,5.014564807,6.092968865,5.258652803,7.24131193,8.277118683,7.37022466,7.118331434,6.901501818,6.884700973,2882.050453,3313.767727,3447.777177,3984.25533,3581.933411
Prinia subflava,2009_PS123,2009_PS124 ,13/02/2009,13,2,No,NaN,0,4,0.55654,0.7996,0.83256,0.77758,0.8113,0.43932,0.5141,0.554,0.57522,0.55974,2.5337,7.4233,15.76,10.91,16.3,11.05,-0.4291,-1.9196242,0.3629,3,0.22353333,5.24566539,0.0971,0.18122434,0.34053333,3.33333333,0.5358,1.87172004,2,NaN,0.942718754,0.92544,0.92544,-310,-310,0.95701,5.691994227,4.849581304,5.869740205,4.794470861,,,,,5.869740205,4.794470861,4624.371244,3251.58479,,,3251.58479
Prinia subflava,2009_PS124,2009_PS063 ,10/02/2009,18,4,Yes,0,0,7,0.43932,0.5141,0.554,0.57522,0.55974,0.26486,0.50138,0.56814,0.53032,0.5508,5.6668,0.322,16.23,11.2,15.53,11.38,0.1062,0.22091249,0.37643333,2,0.48073333,1.10176615,-0.0479,-0.0946204,0.3715,2,0.50623333,0.19284468,2,0.92426,0.950586785,0.92632,0.93476,178,315.5,0.982985,6.710628827,6.017066347,6.068862043,4.723123043,,,,,6.068862043,4.723123043,3495.281239,3574.402409,,,3574.402409
Prinia subflava,2009_PS125,2009_PS090 ,13/02/2009,14,3,No,1,1,2,0.68214,0.80916,0.85178,0.86104,0.85306,0.31758,0.60204,0.62218,0.52788,0.58698,5.3246,7.4768,15.04,11.27,15.64,10.99,0.27235,0.396350755,0.351266665,2.66666667,0.3716,-0.35817045,-0.2365,-0.5688743,0.39516667,1.66666667,0.41573333,-0.3018219,3,0.884195,0.934102012,0.90142,0.902405,41,48.25,0.958575,7.620437191,5.744003078,6.632070867,5.385442843,6.973419398,5.687442054,,,6.802745133,5.536442449,2874.66687,2501.763149,3125.570182,,2813.666666
Prinia subflava,2009_PS129,2009_PS018 ,13/02/2009,16,4,Yes,0,1,4,0.32452,0.64612,0.66756,0.5516,0.62506,0.27252,0.58724,0.64464,0.56176,0.61126,2.14025,0.8433,15.92,11.31,15.51,11.28,-0.0799,-0.24868277,0.463966665,1.833333335,0.4136,3.754403745,0.6138,1.12830882,0.3371,2.66666667,0.544,0.71449252,3,0.842943333,0.940705865,0.946665,0.956666667,-285,-317.6666667,0.913476667,5.569662109,4.909743028,7.798467908,6.358205308,8.463175475,7.133513622,,,8.130821692,6.745859465,3588.824931,3119.938837,2908.345784,,3014.142311
Prinia subflava,2009_PS131,2009_PS117 ,14/02/2009,17,4,No,0,0,6,0.28872,0.55234,0.59736,0.53858,0.57428,0.55892,0.74956,0.79858,0.79964,0.7969,4.0577,6.5522,15.01,11.45,15.28,12.07,0.1099,0.232891947,0.359011113,2.444444447,0.51447778,1.24726836,0.0218,0.04132179,0.3491,2.66666667,0.52756667,1.61309007,4,0.91645,0.941864371,0.907833333,0.9158325,-97.33333333,-145.75,0.961605,6.032037322,4.812839565,6.07428722,4.254246838,5.983572384,4.806660358,6.222385915,4.867748647,6.093415173,4.642885281,3934.978236,4166.81296,4092.334282,3732.32832,3997.158521
