Experiment.x,FemaleID.x,Year.x,HostNest.x,EggColour.x,ExpNest.x,Egg_rejected.x,Rejection_Error.x,ExpEggReceived.x,HostEggRemoved.x,EggStage.x,DateManipulation.x,TimeManipulation.x,DayOfRemoval.x,ClutchSize.x,Year_Nest,reduced_OldEmax,reduced_Eprop,reduced_PD,reduced_Emax,reduced_ExpHost,reduced_Complexity
3,86,2020,PS067,Olive,PS056,0,NO,P3,P4,0,07-Feb,16:30,NA,4,2020_PS067,0.083333333,0.002166667,0.016551724,0.166666667,0.8803075,111.578112
3,87,2020,PS059,Olive,PS068,0,NO,P4,P3,0,08-Feb,09:45,NA,3,2020_PS059,0.875,0.01425,0.016991676,0.5,0.935575,411.184309
3,88,2020,PS065,White (EXPTAL RED),PS058,1,NO,P4,P2,0,08-Feb,10:45,1,2,2020_PS065,0.5,0.0545,0.002425684,1,0.99235,3348.740084
3,89,2020,PS066,Blue,PS048,0,NO,P4,P2,0,09-Feb,08:30,NA,2,2020_PS066,0.5,0.0145,0.088703924,1,0.921285,428.785895
3,90,2020,PS073,Olive,PS067,0,NO,P4,P4,0,10-Feb,17:15,NA,4,2020_PS073,0.5,0.003333333,0.001482362,1.5,0.917589167,185.498796
3,91,2020,PS074,White,PS071,0,NO,P1,P3,0,11-Feb,18:20,NA,3,2020_PS074,0.25,0.00575,0.067003568,0.75,0.89692,89.257387
3,92,2020,PS076,White,PS042,0,NO,P2,P3,0,12-Feb,07:00,NA,3,2020_PS076,0.625,0.005,0.018168847,0.25,0.91493375,11.101413
3,93,2020,PS079,Olive,PS054,0,YES,P3,P4,0,12-Feb,18:00,2,4,2020_PS079,0.25,0.0235,0.136131589,1,0.9016,53.983332
3,94,2020,PS081,White,PS074,0,NO,P3,P3,0,13-Feb,11:00,NA,3,2020_PS081,0.125,0.00375,0.157824019,0,0.90942125,118.87338
3,95,2020,PS075,"White with hint of Blue, EXPTAL WHITE",PS076,1,NO,P3,P3,0,14-Feb,09:45,1,3,2020_PS075,0.125,0.02025,0.125386445,1.75,0.9262975,44.826887
3,96,2020,PS089,Olive,PS073,0,NO,P4,P3,2,14-Feb,15:30,NA,3,2020_PS089,0.25,0.0085,0.053198574,0.5,0.942895,834.289399
3,63,2020,PS084,White,PS081,1,NO,P3,P3,0,15-Feb,07:45,1,3,2020_PS084,0.5,0.01775,0.048668252,1,0.90690625,33.391954
3,98,2020,PS090,Blue,PS060,0,NO,P4,P4,0,15-Feb,15:15,NA,4,2020_PS090,0.25,0.008666667,0.017431629,1,0.9202825,166.393195
3,99,2020,PS091,Blue,PS070,0,NO,P3,P4,0,15-Feb,15:30,NA,4,2020_PS091,0.25,0.001333333,0.189433214,1.666666667,0.934253333,212.513278
3,100,2020,PS085,White,PS084,1,NO,P3,P4,0,16-Feb,08:30,2,4,2020_PS085,0.333333333,0.022333333,0.133491874,0.833333333,0.939739167,406.884073
3,101,2020,PS087,White-olive,PS075,0,NO,P3,P4,0,16-Feb,09:00,NA,4,2020_PS087,0.166666667,0.009166667,0.001323821,1,0.905476667,674.38724
3,102,2020,PS095,White,PS085,0,YES,P4,P4,0,17-Feb,07:45,1,4,2020_PS095,0.083333333,0.0065,0.090328974,0.833333333,0.91365,299.322615
3,89,2020,PS096,Blue,PS091,0,NO,P4,P4,0,18-Feb,11:15,NA,4,2020_PS096,0.25,0.0075,0.014625446,0.166666667,0.930124167,245.445543
3,104,2020,PS094,Olive,PS079,0,NO,P4,P3,0,19-Feb,09:00,NA,3,2020_PS094,1,0.034,0.010332937,2.25,0.91279625,295.824923
3,105,2020,PS099,White-blue,PS053,0,NO,P3,P4,0,19-Feb,16:15,NA,4,2020_PS099,0.166666667,0.002166667,0.051399128,0,0.925805833,142.955218
3,106,2020,PS100,Blue (exptal pale olive-blue-ish),PS045,1,NO,P3,P3,0,19-Feb,17:00,1,3,2020_PS100,0,0.0145,0.085148633,0.25,0.94478625,581.445583
3,107,2020,PS102,White,PS098,0,NO,P1,P3,0,20-Feb,08:15,NA,3,2020_PS102,0.125,0.0015,0.084244946,0,0.9245425,1048.200239
3,78,2020,PS106,Blue,PS090,0,NO,P4,P3,0,23-Feb,12:00,NA,3,2020_PS106,0.625,0.0075,0.013614744,0.5,0.91620375,214.672087
3,109,2020,PS117,Olive-white-blue,PS099,0,NO,P4,P3,0,23-Feb,15:15,NA,3,2020_PS117,0.125,0.03725,0.069678954,0.75,0.96112,1154.271291
3,110,2020,PS120,Pale blue,PS106,0,NO,P3,P4,0,25-Feb,09:00,NA,4,2020_PS120,0.083333333,0.017666667,0.029385652,0.666666667,0.940951667,1082.035087
3,111,2020,PS128,"Blue, exp Olive-white-blue",PS117,0,NO,P3,P3,0,26-Feb,07:45,NA,3,2020_PS128,0,0.002,0.048489893,0,0.93886125,754.058303
3,112,2020,PS118,White,PS095,0,NO,P4,P3,0,27-Feb,07:30,NA,3,2020_PS118,0.125,0.01975,0.104340071,0.75,0.90977625,154.725571
3,113,2020,PS133,Blue,PS128,0,NO,P3,P4,0,27-Feb,16:15,NA,4,2020_PS133,0.333333333,0.0265,0.080586603,0,0.939961667,650.284293
3,114,2020,PS130,Olive,PS094,0,YES,P4,P3,0,29-Feb,09:45,4,3,2020_PS130,0.25,0.025,0.022342449,0,0.90707875,241.265914
3,115,2020,PS134,Olive-red (exptal red),PS057,0,NO,P2,P3,2,29-Feb,11:00,NA,3,2020_PS134,0.125,0.04825,0.042829964,0,0.916235,515.882735
3,116,2020,PS135,Olive,PS089,0,NO,P3,P4,0,29-Feb,11:15,NA,4,2020_PS135,1.25,0.037333333,0.118065794,2,0.927951667,247.889893
3,117,2020,PS136,Olive-red (exptal red),PS014,0,NO,P1,P4,0,29-Feb,12:30,NA,4,2020_PS136,0,0.023166667,0.072366231,0,0.916289167,220.465407
3,118,2020,PS141,White,PS129,0,NO,P4,P3,0,01-Mar,08:15,NA,3,2020_PS141,0.375,0.02025,0.029988109,0.5,0.91611875,195.404477
3,119,2020,PS146,Olive-blue,PS135,1,NO,P4,P3,0,01-Mar,15:15,1,3,2020_PS146,0.875,0.02,0.020879905,0.75,0.93392875,238.644307
