Experiment,FemaleID,Year,HostNest,EggColour,ExpNest,Egg_rejected,Rejection_Error,ExpEggReceived,HostEggRemoved,EggStage,DateManipulation,TimeManipulation,DayOfRemoval,ClutchSize,Exp_Year_Nest_Egg_NestIn,Host_Year_Nest_NestIn,Host_Year_Nest_NestIn_Remain,Exp_COMPLEXITY_a,Exp_COMPLEXITY_b,Exp_COMPLEXITY_c,Exp_COMPLEXITY_d,Exp_COMPLEXITY_ac,Exp_COMPLEXITY_bd,HostAv_COMPLEXITY_all_a,HostAv_COMPLEXITY_all_b,HostAv_COMPLEXITY_all_c,HostAv_COMPLEXITY_all_d,HostAv_COMPLEXITY_all_ac,HostAv_COMPLEXITY_all_bd,HostAv_COMPLEXITY_reduced_a,HostAv_COMPLEXITY_reduced_b,HostAv_COMPLEXITY_reduced_c,HostAv_COMPLEXITY_reduced_d,HostAv_COMPLEXITY_reduced_ac,HostAv_COMPLEXITY_reduced_bd
3,93,2020,PS079,Olive,PS054,0,YES,P3,P4,0,12-Feb,18:00,2,4,2020_PS054_P3_PS079,2020_PS079_PS079,2020_PS079_PS079_TRUE,1895.904626,1266.760225,1615.584325,1454.258621,1755.744476,1360.509423,1659.023761,1690.674392,1741.35061,1669.148282,1700.187185,1679.911337,1653.128579,1651.135733,1750.39371,1596.792991,1701.761144,1623.964362
3,94,2020,PS081,White,PS074,0,NO,P3,P3,0,13-Feb,11:00,NA,3,2020_PS074_P3_PS081,2020_PS081_PS081,2020_PS081_PS081_TRUE,2776.018555,3037.613122,3124.225233,3473.517338,2950.121894,3255.56523,3239.422666,3347.783218,2876.497252,3009.090396,3057.959959,3178.436807,3261.542093,3363.256326,2876.448456,2851.414063,3068.995274,3107.335194
3,95,2020,PS075,"White with hint of Blue, EXPTAL WHITE",PS076,1,NO,P3,P3,0,14-Feb,09:45,1,3,2020_PS076_P3_PS075,2020_PS075_PS075,2020_PS075_PS075_TRUE,3925.226211,3265.460459,2623.841987,2333.22223,3274.534099,2799.341345,3255.956115,3423.875362,3179.250946,2535.945036,3217.603531,2979.910199,3062.935933,3426.133532,3396.478491,2633.214187,3229.707212,3029.673859
3,96,2020,PS089,Olive,PS073,0,NO,P4,P3,2,14-Feb,15:30,NA,3,2020_PS073_P4_PS089,2020_PS089_PS089,2020_PS089_PS089_TRUE,1471.593112,2006.68064,1697.997739,1771.047238,1584.795426,1888.863939,2248.1862,2218.90993,2467.062007,2675.343523,2357.624104,2447.126727,2308.107761,2133.30092,2530.06189,2728.57681,2419.084825,2430.938865
3,63,2020,PS084,White,PS081,1,NO,P3,P3,0,15-Feb,07:45,1,3,2020_PS081_P3_PS084,2020_PS084_PS084,2020_PS084_PS084_TRUE,3339.374396,3697.856771,3057.559312,3481.217557,3198.466854,3589.537164,3018.220715,3079.169006,3544.567418,3028.739625,3281.394067,3053.954316,2969.661728,3242.159298,3360.488071,3134.800751,3165.0749,3188.480024
3,98,2020,PS090,Blue,PS060,0,NO,P4,P4,0,15-Feb,15:15,NA,4,2020_PS060_P4_PS090,2020_PS090_PS090,2020_PS090_PS090_TRUE,3017.855011,2269.058467,3073.925355,2726.886827,3045.890183,2497.972647,2974.963068,2387.522451,2789.306425,3033.04803,2882.134747,2710.28524,2973.575267,2386.060879,2785.418708,3043.200713,2879.496988,2714.630796
3,99,2020,PS091,Blue,PS070,0,NO,P3,P4,0,15-Feb,15:30,NA,4,2020_PS070_P3_PS091,2020_PS091_PS091,2020_PS091_PS091_TRUE,2592.848416,3080.57035,2598.913249,2972.691179,2595.880833,3026.630765,2663.374435,2974.968188,2748.370805,2339.035401,2705.87262,2657.001795,2719.837841,2967.705605,2896.95038,2335.236034,2808.394111,2651.470819
3,100,2020,PS085,White,PS084,1,NO,P3,P4,0,16-Feb,08:30,2,4,2020_PS084_P3_PS085,2020_PS085_PS085,2020_PS085_PS085_TRUE,3679.939774,3402.717027,2168.808637,3996.442147,2924.374206,3699.579587,3462.788055,4232.631754,3618.074765,3605.872579,3540.43141,3919.252166,2714.105411,4087.91253,3948.411148,3606.290512,3331.258279,3847.101521
3,101,2020,PS087,White-olive,PS075,0,NO,P3,P4,0,16-Feb,09:00,NA,4,2020_PS075_P3_PS087,2020_PS087_PS087,2020_PS087_PS087_TRUE,3513.390888,3107.671568,2944.777829,3067.97085,3229.084359,3087.821209,4396.349693,4812.849843,3999.331814,4800.579323,4197.840754,4806.714583,4104.779706,4540.484522,3702.163492,4617.139734,3903.471599,4578.812128
3,102,2020,PS095,White,PS085,0,YES,P4,P4,0,17-Feb,07:45,1,4,2020_PS085_P4_PS095,2020_PS095_PS095,2020_PS095_PS095_TRUE,4639.872561,3239.313248,3946.158248,3289.125989,4293.015405,3264.219619,4806.942997,4825.075712,3692.98496,4577.379835,4249.963978,4701.227773,5272.290191,5316.899306,3912.385849,5122.972621,4592.33802,5219.935964
