Year_Nest_Egg_NestIn,Year,Nest,Egg,NestIn,COMPLEXITY_a,COMPLEXITY_b,COMPLEXITY_c,COMPLEXITY_d,COMPLEXITY_ac,COMPLEXITY_bd,Species
2018_PS101_P1_PS101,2018,PS101,P1,PS101,3170.216995,3409.761152,3901.752898,3380.993982,3535.984947,3395.377567,P
2018_PS101_P2_PS101,2018,PS101,P2,PS101,3606.543557,3502.384549,3343.835265,3619.11002,3475.189411,3560.747285,P
2018_PS101_P3_PS101,2018,PS101,P3,PS101,2318.362041,3239.173291,2700.121732,2523.360795,2509.241887,2881.267043,P
2018_PST008_P3_PS101,2018,PST008,P3,PS101,2703.0049,2178.428307,2285.208467,2680.31453,2494.106684,2429.371419,P
2018_PS109_P1_PS109,2018,PS109,P1,PS109,3482.138012,3595.253505,2818.092678,3747.153566,3150.115345,3671.203536,P
2018_PS109_P2_PS109,2018,PS109,P2,PS109,3657.489838,3976.149781,2976.141143,3315.784929,3316.815491,3645.967355,P
2018_PS109_P3_PS109,2018,PS109,P3,PS109,2578.957862,2364.072526,2631.073479,2287.495803,2605.015671,2325.784165,P
2018_PS092_P3_PS109,2018,PS092,P3,PS109,2909.114252,2555.381653,2808.460562,2771.226689,2858.787407,2663.304171,P
2018_PS112_P1_PS112,2018,PS112,P1,PS112,1863.841659,2085.071793,1051.970583,2012.298327,1457.906121,2048.68506,P
2018_PS112_P2_PS112,2018,PS112,P2,PS112,1567.306095,1423.764353,956.3499796,1954.21607,1261.828037,1688.990212,P
2018_PS112_P3_PS112,2018,PS112,P3,PS112,1527.354076,1887.382557,1502.652012,2258.841686,1515.003044,2073.112122,P
2018_PS094_P1_PS112,2018,PS094,P1,PS112,1925.515754,1495.634651,1616.716985,1478.491908,1771.11637,1487.06328,P
2018_PS113_P1_PS113,2018,PS113,P1,PS113,1985.865563,2086.976439,1703.406489,1758.855266,1844.636026,1922.915853,P
2018_PS113_P2_PS113,2018,PS113,P2,PS113,1705.206265,1706.013631,1728.382639,1708.568248,1716.794452,1707.29094,P
2018_PS097_P3_PS113,2018,PS097,P3,PS113,1813.640019,1564.512406,1030.111639,1506.356433,1421.875829,1535.43442,P
2018_PS116_P1_PS116,2018,PS116,P1,PS116,1872.078543,1433.611954,1806.76553,1731.832716,1839.422037,1582.722335,P
2018_PS116_P2_PS116,2018,PS116,P2,PS116,1791.064496,1804.829249,1384.63802,1847.565029,1587.851258,1826.197139,P
2018_PS116_P3_PS116,2018,PS116,P3,PS116,2309.696818,1892.11926,1831.04564,2316.934601,2070.371229,2104.526931,P
2018_PS116_P4_PS116,2018,PS116,P4,PS116,1801.370068,1548.475468,1454.536957,1932.163289,1627.953513,1740.319379,P
2018_PS103_P1_PS116,2018,PS103,P1,PS116,1271.281646,1883.060493,1559.404878,1387.408319,1415.343262,1635.234406,P
2018_PS119_P1_PS119,2018,PS119,P1,PS119,2361.703449,2696.2565,2553.564247,2206.453633,2457.633848,2451.355067,P
2018_PS119_P2_PS119,2018,PS119,P2,PS119,2554.487747,2842.873977,3154.110196,2479.576191,2854.298972,2661.225084,P
2018_PS119_P3_PS119,2018,PS119,P3,PS119,2235.618303,2714.805623,2575.522142,2314.82883,2405.570223,2514.817227,P
2018_PST013_P3_PS119,2018,PST013,P3,PS119,2410.183093,2621.252179,2394.920266,2732.189459,2402.55168,2676.720819,P
2018_PS120_P1_PS120,2018,PS120,P1,PS120,2380.095289,2791.309841,2848.205404,2615.731276,2614.150347,2703.520559,P
2018_PS120_P2_PS120,2018,PS120,P2,PS120,2323.022987,2475.593363,2138.169813,2020.265707,2230.5964,2247.929535,P
2018_PS120_P3_PS120,2018,PS120,P3,PS120,2091.087818,2603.400424,2607.549638,2283.889287,2349.318728,2443.644856,P
2018_PS120_P4_PS120,2018,PS120,P4,PS120,3222.830628,3181.140013,2770.110415,2976.61189,2996.470522,3078.875952,P
2018_PS078_P3_PS120,2018,PS078,P3,PS120,2573.623808,2917.049567,2965.075718,2754.303341,2769.349763,2835.676454,P
2018_PS121_P1_PS121,2018,PS121,P1,PS121,1817.143302,1776.301818,1526.260282,1896.446968,1671.701792,1836.374393,P
2018_PS121_P2_PS121,2018,PS121,P2,PS121,1597.39872,1702.94541,1785.506834,1601.16635,1691.452777,1652.05588,P
